Analyzing: Layer 9, 8x expansion (K=32)
Directory: /biodata/nyanovsky/datasets/pbmc3k/layer_9/sae_k_32_5120/interpretations_filter_zero_expressed

Feature    | Top Cell Type (r)         | Top Significant GO Terms
634        | FCGR3A+ Monocytes (-0.20) | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
135        | B cells (-0.34)           | mitochondrial outer membrane (GO:0005741) (GO_Cellular_Component_2021) || mitochondrial envelope (GO:0005740) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
528        | CD14+ Monocytes (0.40)    | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || telomerase RNA binding (GO:0070034) (GO_Molecular_Function_2021)
2666       | FCGR3A+ Monocytes (-0.29) | purine-containing compound salvage (GO:0043101) (GO_Biological_Process_2021) || AMP metabolic process (GO:0046033) (GO_Biological_Process_2021) || purine ribonucleoside monophosphate biosynthetic process (GO:0009168) (GO_Biological_Process_2021)
3846       | CD4 T cells (0.50)        | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
2041       | NK cells (-0.33)          | regulation of protein polymerization (GO:0032271) (GO_Biological_Process_2021) || regulation of amyloid precursor protein biosynthetic process (GO:0042984) (GO_Biological_Process_2021)
5110       | CD4 T cells (0.35)        | negative regulation of cell cycle (GO:0045786) (GO_Biological_Process_2021)
3055       | CD4 T cells (0.29)        | T cell extravasation (GO:0072683) (GO_Biological_Process_2021) || nucleus localization (GO:0051647) (GO_Biological_Process_2021) || nuclear migration (GO:0007097) (GO_Biological_Process_2021)
4230       | CD14+ Monocytes (-0.55)   | RNA catabolic process (GO:0006401) (GO_Biological_Process_2021) || rRNA base methylation (GO:0070475) (GO_Biological_Process_2021) || exoribonuclease activity, producing 5'-phosphomonoesters (GO:0016896) (GO_Molecular_Function_2021)
3430       | CD4 T cells (0.49)        | cyclin/CDK positive transcription elongation factor complex (GO:0008024) (GO_Cellular_Component_2021) || TIM23 mitochondrial import inner membrane translocase complex (GO:0005744) (GO_Cellular_Component_2021) || recycling endosome (GO:0055037) (GO_Cellular_Component_2021)
3316       | CD8 T cells (0.23)        | organelle assembly (GO:0070925) (GO_Biological_Process_2021)
2531       | CD14+ Monocytes (0.42)    | transforming growth factor beta-activated receptor activity (GO:0005024) (GO_Molecular_Function_2021) || transmembrane receptor protein serine/threonine kinase activity (GO:0004675) (GO_Molecular_Function_2021) || transforming growth factor beta binding (GO:0050431) (GO_Molecular_Function_2021)
3916       | CD14+ Monocytes (-0.56)   | proton-transporting V-type ATPase, V1 domain (GO:0033180) (GO_Cellular_Component_2021) || vacuolar proton-transporting V-type ATPase, V1 domain (GO:0000221) (GO_Cellular_Component_2021) || lysosomal membrane (GO:0005765) (GO_Cellular_Component_2021)
2615       | B cells (0.42)            | mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021)
1283       | FCGR3A+ Monocytes (-0.33) | muscle contraction (GO:0006936) (GO_Biological_Process_2021) || actin-myosin filament sliding (GO:0033275) (GO_Biological_Process_2021) || muscle filament sliding (GO:0030049) (GO_Biological_Process_2021)
4084       | CD14+ Monocytes (0.37)    | positive regulation of transcription by RNA polymerase II (GO:0045944) (GO_Biological_Process_2021) || regulation of transcription by RNA polymerase II (GO:0006357) (GO_Biological_Process_2021) || nuclear envelope lumen (GO:0005641) (GO_Cellular_Component_2021)
1460       | B cells (0.33)            | DNA ligation involved in DNA repair (GO:0051103) (GO_Biological_Process_2021) || DNA ligation (GO:0006266) (GO_Biological_Process_2021) || xenobiotic catabolic process (GO:0042178) (GO_Biological_Process_2021)
1612       | CD14+ Monocytes (0.49)    | CoA carboxylase activity (GO:0016421) (GO_Molecular_Function_2021) || ncRNA processing (GO:0034470) (GO_Biological_Process_2021) || biotin metabolic process (GO:0006768) (GO_Biological_Process_2021)
4646       | FCGR3A+ Monocytes (-0.35) | midbody abscission (GO:0061952) (GO_Biological_Process_2021) || mitotic metaphase plate congression (GO:0007080) (GO_Biological_Process_2021) || mitotic cytokinetic process (GO:1902410) (GO_Biological_Process_2021)
4021       | NK cells (0.24)           | GTPase activator activity (GO:0005096) (GO_Molecular_Function_2021) || cysteine-type endopeptidase activator activity involved in apoptotic process (GO:0008656) (GO_Molecular_Function_2021) || peptidase activator activity involved in apoptotic process (GO:0016505) (GO_Molecular_Function_2021)
4196       | B cells (-0.25)           | C21-steroid hormone metabolic process (GO:0008207) (GO_Biological_Process_2021) || C21-steroid hormone biosynthetic process (GO:0006700) (GO_Biological_Process_2021) || steroid hormone biosynthetic process (GO:0120178) (GO_Biological_Process_2021)
389        | CD4 T cells (0.36)        | tau protein binding (GO:0048156) (GO_Molecular_Function_2021) || endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888) (GO_Biological_Process_2021) || regulation of cellular protein localization (GO:1903827) (GO_Biological_Process_2021)
4147       | CD4 T cells (0.51)        | UDP-N-acetylglucosamine metabolic process (GO:0006047) (GO_Biological_Process_2021) || Schwann cell differentiation (GO:0014037) (GO_Biological_Process_2021) || SUMO ligase activity (GO:0061665) (GO_Molecular_Function_2021)
1358       | CD4 T cells (0.42)        | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021)
4170       | CD14+ Monocytes (0.24)    | trans-Golgi network membrane (GO:0032588) (GO_Cellular_Component_2021)
2391       | B cells (-0.19)           | nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184) (GO_Biological_Process_2021) || regulation of transcription initiation from RNA polymerase II promoter (GO:0060260) (GO_Biological_Process_2021) || cytosolic small ribosomal subunit (GO:0022627) (GO_Cellular_Component_2021)
2333       | NK cells (-0.30)          | cytolytic granule (GO:0044194) (GO_Cellular_Component_2021)
452        | B cells (0.34)            | negative regulation of type I interferon production (GO:0032480) (GO_Biological_Process_2021)
2570       | CD14+ Monocytes (0.39)    | nucleolus (GO:0005730) (GO_Cellular_Component_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021) || intracellular non-membrane-bounded organelle (GO:0043232) (GO_Cellular_Component_2021)
1801       | CD4 T cells (0.39)        | lysosome (GO:0005764) (GO_Cellular_Component_2021) || lysosomal membrane (GO:0005765) (GO_Cellular_Component_2021) || lytic vacuole membrane (GO:0098852) (GO_Cellular_Component_2021)
2609       | FCGR3A+ Monocytes (-0.23) | tertiary granule (GO:0070820) (GO_Cellular_Component_2021) || integral component of organelle membrane (GO:0031301) (GO_Cellular_Component_2021) || integral component of endoplasmic reticulum membrane (GO:0030176) (GO_Cellular_Component_2021)
1960       | B cells (-0.32)           | mitotic DNA replication (GO:1902969) (GO_Biological_Process_2021) || DNA replication origin binding (GO:0003688) (GO_Molecular_Function_2021) || DNA replication (GO:0006260) (GO_Biological_Process_2021)
4510       | NK cells (-0.25)          | response to hydroperoxide (GO:0033194) (GO_Biological_Process_2021) || negative regulation of lymphocyte migration (GO:2000402) (GO_Biological_Process_2021) || regulation of lymphocyte migration (GO:2000401) (GO_Biological_Process_2021)
4840       | CD4 T cells (0.65)        | RNA polymerase II CTD heptapeptide repeat phosphatase activity (GO:0008420) (GO_Molecular_Function_2021) || protein serine/threonine phosphatase activity (GO:0004722) (GO_Molecular_Function_2021) || negative regulation of cell size (GO:0045792) (GO_Biological_Process_2021)
181        | CD14+ Monocytes (-0.38)   | regulation of cellular amine metabolic process (GO:0033238) (GO_Biological_Process_2021) || regulation of cellular amino acid metabolic process (GO:0006521) (GO_Biological_Process_2021) || regulation of cellular ketone metabolic process (GO:0010565) (GO_Biological_Process_2021)
3581       | CD14+ Monocytes (0.48)    | purine-containing compound metabolic process (GO:0072521) (GO_Biological_Process_2021) || rhodopsin mediated signaling pathway (GO:0016056) (GO_Biological_Process_2021) || phototransduction, visible light (GO:0007603) (GO_Biological_Process_2021)
3267       | CD4 T cells (-0.33)       | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || cyclin/CDK positive transcription elongation factor complex (GO:0008024) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
4287       | CD14+ Monocytes (-0.43)   | protein localization to condensed chromosome (GO:1903083) (GO_Biological_Process_2021) || protein localization to kinetochore (GO:0034501) (GO_Biological_Process_2021) || protein localization to chromosome, centromeric region (GO:0071459) (GO_Biological_Process_2021)
4156       | CD14+ Monocytes (-0.60)   | phospholipase binding (GO:0043274) (GO_Molecular_Function_2021) || positive regulation of protein-containing complex assembly (GO:0031334) (GO_Biological_Process_2021) || regulation of cortisol biosynthetic process (GO:2000064) (GO_Biological_Process_2021)
4140       | CD4 T cells (-0.28)       | positive regulation of ATPase activity (GO:0032781) (GO_Biological_Process_2021) || ATPase binding (GO:0051117) (GO_Molecular_Function_2021) || regulation of ventricular cardiac muscle cell action potential (GO:0098911) (GO_Biological_Process_2021)
2865       | CD14+ Monocytes (0.60)    | CD40 receptor complex (GO:0035631) (GO_Cellular_Component_2021) || intrinsic apoptotic signaling pathway (GO:0097193) (GO_Biological_Process_2021) || mitochondrial envelope (GO:0005740) (GO_Cellular_Component_2021)
2435       | CD4 T cells (0.67)        | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
4777       | CD14+ Monocytes (0.43)    | cytokine-mediated signaling pathway (GO:0019221) (GO_Biological_Process_2021) || cellular response to interferon-gamma (GO:0071346) (GO_Biological_Process_2021) || response to interferon-gamma (GO:0034341) (GO_Biological_Process_2021)
2160       | NK cells (-0.22)          | ephrin receptor activity (GO:0005003) (GO_Molecular_Function_2021) || transmembrane-ephrin receptor activity (GO:0005005) (GO_Molecular_Function_2021)
98         | CD14+ Monocytes (0.26)    | cell cycle G1/S phase transition (GO:0044843) (GO_Biological_Process_2021) || G1/S transition of mitotic cell cycle (GO:0000082) (GO_Biological_Process_2021)
3088       | CD14+ Monocytes (-0.49)   | nucleoside kinase activity (GO:0019206) (GO_Molecular_Function_2021) || arylesterase activity (GO:0004064) (GO_Molecular_Function_2021) || calcium:cation antiporter activity (GO:0015368) (GO_Molecular_Function_2021)
4218       | CD4 T cells (0.48)        | T cell receptor complex (GO:0042101) (GO_Cellular_Component_2021) || MHC class I protein binding (GO:0042288) (GO_Molecular_Function_2021) || MHC protein binding (GO:0042287) (GO_Molecular_Function_2021)
2389       | CD4 T cells (0.51)        | phosphatidylinositol phosphate kinase activity (GO:0016307) (GO_Molecular_Function_2021) || phosphatidylinositol kinase activity (GO:0052742) (GO_Molecular_Function_2021) || P-body (GO:0000932) (GO_Cellular_Component_2021)
2895       | CD14+ Monocytes (-0.27)   | peptide biosynthetic process (GO:0043043) (GO_Biological_Process_2021) || SRP-dependent cotranslational protein targeting to membrane (GO:0006614) (GO_Biological_Process_2021) || cytoplasmic translation (GO:0002181) (GO_Biological_Process_2021)
290        | CD14+ Monocytes (-0.48)   | focal adhesion (GO:0005925) (GO_Cellular_Component_2021) || cell-substrate junction (GO:0030055) (GO_Cellular_Component_2021) || cytoskeleton (GO:0005856) (GO_Cellular_Component_2021)
2446       | CD14+ Monocytes (0.30)    | COPII-coated vesicle budding (GO:0090114) (GO_Biological_Process_2021) || mitochondrial translational elongation (GO:0070125) (GO_Biological_Process_2021) || mitochondrial translational termination (GO:0070126) (GO_Biological_Process_2021)
3083       | CD4 T cells (-0.42)       | negative regulation of leukocyte differentiation (GO:1902106) (GO_Biological_Process_2021) || negative regulation of dendritic cell differentiation (GO:2001199) (GO_Biological_Process_2021) || gamma-aminobutyric acid metabolic process (GO:0009448) (GO_Biological_Process_2021)
3370       | CD14+ Monocytes (-0.59)   | lysosomal membrane (GO:0005765) (GO_Cellular_Component_2021) || lytic vacuole membrane (GO:0098852) (GO_Cellular_Component_2021) || proton-transporting V-type ATPase, V1 domain (GO:0033180) (GO_Cellular_Component_2021)
3607       | CD4 T cells (0.29)        | antiporter activity (GO:0015297) (GO_Molecular_Function_2021)
1924       | CD4 T cells (0.68)        | chromo shadow domain binding (GO:0070087) (GO_Molecular_Function_2021) || phosphatidylinositol binding (GO:0035091) (GO_Molecular_Function_2021) || disordered domain specific binding (GO:0097718) (GO_Molecular_Function_2021)
4266       | NK cells (0.31)           | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || nucleolus (GO:0005730) (GO_Cellular_Component_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021)
2652       | FCGR3A+ Monocytes (0.21)  | cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097199) (GO_Molecular_Function_2021) || cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:0097200) (GO_Molecular_Function_2021) || cysteine-type endopeptidase activity involved in apoptotic process (GO:0097153) (GO_Molecular_Function_2021)
4240       | CD4 T cells (0.61)        | negative regulation of Rho protein signal transduction (GO:0035024) (GO_Biological_Process_2021)
1006       | CD14+ Monocytes (-0.45)   | endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888) (GO_Biological_Process_2021) || COPII-coated ER to Golgi transport vesicle (GO:0030134) (GO_Cellular_Component_2021) || coated vesicle (GO:0030135) (GO_Cellular_Component_2021)
4337       | CD4 T cells (0.66)        | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377) (GO_Biological_Process_2021) || mRNA metabolic process (GO:0016071) (GO_Biological_Process_2021)
1928       | CD4 T cells (0.43)        | intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059) (GO_Biological_Process_2021) || mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021)
692        | CD4 T cells (0.37)        | glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity (GO:0047238) (GO_Molecular_Function_2021) || proteoglycan metabolic process (GO:0006029) (GO_Biological_Process_2021) || chondroitin sulfate proteoglycan biosynthetic process (GO:0050650) (GO_Biological_Process_2021)
4718       | CD4 T cells (-0.33)       | nucleobase biosynthetic process (GO:0046112) (GO_Biological_Process_2021) || phosphotransferase activity, alcohol group as acceptor (GO:0016773) (GO_Molecular_Function_2021) || regulation of fatty acid metabolic process (GO:0019217) (GO_Biological_Process_2021)
26         | CD8 T cells (0.34)        | tumor necrosis factor-mediated signaling pathway (GO:0033209) (GO_Biological_Process_2021) || cellular response to tumor necrosis factor (GO:0071356) (GO_Biological_Process_2021) || cytokine-mediated signaling pathway (GO:0019221) (GO_Biological_Process_2021)
900        | CD4 T cells (0.61)        | collagen-containing extracellular matrix (GO:0062023) (GO_Cellular_Component_2021)
3964       | CD14+ Monocytes (-0.31)   | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || chromosome organization (GO:0051276) (GO_Biological_Process_2021)
2469       | CD4 T cells (0.56)        | regulation of protein localization to cilium (GO:1903564) (GO_Biological_Process_2021) || tRNA threonylcarbamoyladenosine metabolic process (GO:0070525) (GO_Biological_Process_2021) || snRNA transcription by RNA polymerase III (GO:0042796) (GO_Biological_Process_2021)
4433       | CD4 T cells (0.21)        | 1-phosphatidylinositol-4-phosphate 5-kinase activity (GO:0016308) (GO_Molecular_Function_2021) || phosphatase binding (GO:0019902) (GO_Molecular_Function_2021) || methyltransferase activity (GO:0008168) (GO_Molecular_Function_2021)
1632       | CD14+ Monocytes (0.54)    | DEAD/H-box RNA helicase binding (GO:0017151) (GO_Molecular_Function_2021) || mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
465        | CD4 T cells (0.65)        | phosphatidylethanolamine binding (GO:0008429) (GO_Molecular_Function_2021)
987        | NK cells (-0.33)          | Golgi trans cisterna (GO:0000138) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || azurophil granule membrane (GO:0035577) (GO_Cellular_Component_2021)
1280       | CD4 T cells (0.41)        | Set1C/COMPASS complex (GO:0048188) (GO_Cellular_Component_2021)
2848       | NK cells (-0.25)          | regulation of digestive system process (GO:0044058) (GO_Biological_Process_2021) || base-excision repair, gap-filling (GO:0006287) (GO_Biological_Process_2021) || depyrimidination (GO:0045008) (GO_Biological_Process_2021)
1809       | FCGR3A+ Monocytes (-0.33) | isoprenoid biosynthetic process (GO:0008299) (GO_Biological_Process_2021) || antiporter activity (GO:0015297) (GO_Molecular_Function_2021) || acid phosphatase activity (GO:0003993) (GO_Molecular_Function_2021)
700        | CD14+ Monocytes (-0.51)   | oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor (GO:0016634) (GO_Molecular_Function_2021) || pyrophosphatase activity (GO:0016462) (GO_Molecular_Function_2021) || flavin adenine dinucleotide binding (GO:0050660) (GO_Molecular_Function_2021)
1865       | NK cells (-0.38)          | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021)
2490       | B cells (-0.38)           | protein import into mitochondrial matrix (GO:0030150) (GO_Biological_Process_2021) || protein transmembrane import into intracellular organelle (GO:0044743) (GO_Biological_Process_2021) || intracellular protein transmembrane transport (GO:0065002) (GO_Biological_Process_2021)
546        | CD4 T cells (0.74)        | lumenal side of endoplasmic reticulum membrane (GO:0098553) (GO_Cellular_Component_2021) || integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556) (GO_Cellular_Component_2021) || trans-Golgi network (GO:0005802) (GO_Cellular_Component_2021)
3327       | CD14+ Monocytes (0.21)    | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
4526       | CD14+ Monocytes (0.27)    | histone acetyltransferase binding (GO:0035035) (GO_Molecular_Function_2021) || oxysterol binding (GO:0008142) (GO_Molecular_Function_2021) || 5'-3' exodeoxyribonuclease activity (GO:0035312) (GO_Molecular_Function_2021)
2293       | B cells (-0.46)           | lymphocyte migration (GO:0072676) (GO_Biological_Process_2021) || cytolytic granule (GO:0044194) (GO_Cellular_Component_2021) || lysosome (GO:0005764) (GO_Cellular_Component_2021)
2733       | CD14+ Monocytes (-0.31)   | DNA insertion or deletion binding (GO:0032135) (GO_Molecular_Function_2021) || mismatch repair (GO:0006298) (GO_Biological_Process_2021) || DNA repair (GO:0006281) (GO_Biological_Process_2021)
230        | NK cells (-0.37)          | nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184) (GO_Biological_Process_2021) || SRP-dependent cotranslational protein targeting to membrane (GO:0006614) (GO_Biological_Process_2021) || cytoplasmic translation (GO:0002181) (GO_Biological_Process_2021)
4395       | CD4 T cells (0.35)        | RNA polymerase III complex (GO:0005666) (GO_Cellular_Component_2021) || positive regulation of type I interferon production (GO:0032481) (GO_Biological_Process_2021) || regulation of type I interferon production (GO:0032479) (GO_Biological_Process_2021)
4944       | CD14+ Monocytes (-0.33)   | GDP binding (GO:0019003) (GO_Molecular_Function_2021) || guanyl ribonucleotide binding (GO:0032561) (GO_Molecular_Function_2021) || GTPase activity (GO:0003924) (GO_Molecular_Function_2021)
2205       | CD14+ Monocytes (0.25)    | TORC1 complex (GO:0031931) (GO_Cellular_Component_2021) || lysosomal membrane (GO:0005765) (GO_Cellular_Component_2021) || TORC2 complex (GO:0031932) (GO_Cellular_Component_2021)
3918       | CD4 T cells (0.46)        | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || nucleolus (GO:0005730) (GO_Cellular_Component_2021)
4594       | CD4 T cells (0.42)        | CXCR chemokine receptor binding (GO:0045236) (GO_Molecular_Function_2021) || regulation of organ growth (GO:0046620) (GO_Biological_Process_2021)
2228       | CD14+ Monocytes (0.28)    | death domain binding (GO:0070513) (GO_Molecular_Function_2021) || purine nucleoside monophosphate biosynthetic process (GO:0009127) (GO_Biological_Process_2021) || ribonucleoside monophosphate biosynthetic process (GO:0009156) (GO_Biological_Process_2021)
619        | CD14+ Monocytes (0.38)    | cellular response to cytokine stimulus (GO:0071345) (GO_Biological_Process_2021) || pyrimidine nucleoside catabolic process (GO:0046135) (GO_Biological_Process_2021) || nucleoside catabolic process (GO:0009164) (GO_Biological_Process_2021)
2164       | CD4 T cells (0.52)        | metalloaminopeptidase activity (GO:0070006) (GO_Molecular_Function_2021)
2646       | CD4 T cells (0.39)        | G protein-coupled chemoattractant receptor activity (GO:0001637) (GO_Molecular_Function_2021) || chemokine receptor activity (GO:0004950) (GO_Molecular_Function_2021) || metal ion transmembrane transporter activity (GO:0046873) (GO_Molecular_Function_2021)
81         | CD4 T cells (0.69)        | CARD domain binding (GO:0050700) (GO_Molecular_Function_2021) || cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097199) (GO_Molecular_Function_2021) || cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:0097200) (GO_Molecular_Function_2021)
1811       | CD4 T cells (-0.22)       | PTW/PP1 phosphatase complex (GO:0072357) (GO_Cellular_Component_2021) || Cdc73/Paf1 complex (GO:0016593) (GO_Cellular_Component_2021) || protein serine/threonine phosphatase complex (GO:0008287) (GO_Cellular_Component_2021)
4185       | B cells (0.38)            | core mediator complex (GO:0070847) (GO_Cellular_Component_2021)
1122       | B cells (-0.26)           | positive regulation of viral entry into host cell (GO:0046598) (GO_Biological_Process_2021) || positive regulation by symbiont of entry into host (GO:0075294) (GO_Biological_Process_2021)
3468       | CD14+ Monocytes (0.53)    | azurophil granule membrane (GO:0035577) (GO_Cellular_Component_2021) || endosome membrane (GO:0010008) (GO_Cellular_Component_2021) || lysosomal membrane (GO:0005765) (GO_Cellular_Component_2021)
1799       | NK cells (-0.37)          | proton transmembrane transporter activity (GO:0015078) (GO_Molecular_Function_2021) || 4 iron, 4 sulfur cluster binding (GO:0051539) (GO_Molecular_Function_2021)
1805       | FCGR3A+ Monocytes (-0.30) | serine-type endopeptidase activity (GO:0004252) (GO_Molecular_Function_2021) || TPR domain binding (GO:0030911) (GO_Molecular_Function_2021) || 7S RNA binding (GO:0008312) (GO_Molecular_Function_2021)
2027       | B cells (-0.29)           | guanyl-nucleotide exchange factor activity (GO:0005085) (GO_Molecular_Function_2021) || GTPase activator activity (GO:0005096) (GO_Molecular_Function_2021)
922        | CD4 T cells (0.38)        | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
3986       | CD4 T cells (0.21)        | L-phenylalanine metabolic process (GO:0006558) (GO_Biological_Process_2021) || muscle cell migration (GO:0014812) (GO_Biological_Process_2021)
4263       | CD4 T cells (0.48)        | mismatched DNA binding (GO:0030983) (GO_Molecular_Function_2021) || MutLalpha complex binding (GO:0032405) (GO_Molecular_Function_2021) || oxidized DNA binding (GO:0032356) (GO_Molecular_Function_2021)
251        | CD4 T cells (0.30)        | isoleucine metabolic process (GO:0006549) (GO_Biological_Process_2021)
1958       | B cells (0.19)            | histone-lysine N-methyltransferase activity (GO:0018024) (GO_Molecular_Function_2021)
3910       | CD4 T cells (0.24)        | autolysosome (GO:0044754) (GO_Cellular_Component_2021) || secondary lysosome (GO:0005767) (GO_Cellular_Component_2021) || negative regulation of programmed cell death (GO:0043069) (GO_Biological_Process_2021)
2514       | NK cells (0.24)           | protein tyrosine kinase binding (GO:1990782) (GO_Molecular_Function_2021) || ether hydrolase activity (GO:0016803) (GO_Molecular_Function_2021)
553        | CD14+ Monocytes (-0.36)   | negative regulation of growth (GO:0045926) (GO_Biological_Process_2021) || sarcoplasmic reticulum calcium ion transport (GO:0070296) (GO_Biological_Process_2021) || negative regulation of MAPK cascade (GO:0043409) (GO_Biological_Process_2021)
4462       | CD4 T cells (0.16)        | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021)
3734       | CD4 T cells (0.40)        | ankyrin binding (GO:0030506) (GO_Molecular_Function_2021)
1143       | FCGR3A+ Monocytes (-0.37) | regulation of transcription by RNA polymerase II (GO:0006357) (GO_Biological_Process_2021) || positive regulation of transcription by RNA polymerase II (GO:0045944) (GO_Biological_Process_2021) || histone H4 deacetylation (GO:0070933) (GO_Biological_Process_2021)
943        | B cells (-0.42)           | regulation of cellular amine metabolic process (GO:0033238) (GO_Biological_Process_2021) || mitotic metaphase plate congression (GO:0007080) (GO_Biological_Process_2021) || regulation of cellular amino acid metabolic process (GO:0006521) (GO_Biological_Process_2021)
3193       | CD14+ Monocytes (0.42)    | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
4166       | CD4 T cells (0.67)        | cytokine receptor activity (GO:0004896) (GO_Molecular_Function_2021) || regulation of immune response (GO:0050776) (GO_Biological_Process_2021) || T cell receptor complex (GO:0042101) (GO_Cellular_Component_2021)
2510       | CD4 T cells (0.37)        | ubiquitin conjugating enzyme activity (GO:0061631) (GO_Molecular_Function_2021) || ubiquitin-like protein conjugating enzyme activity (GO:0061650) (GO_Molecular_Function_2021)
2936       | CD4 T cells (-0.29)       | oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor (GO:0016628) (GO_Molecular_Function_2021)
3240       | CD4 T cells (0.34)        | bounding membrane of organelle (GO:0098588) (GO_Cellular_Component_2021) || aspartic-type endopeptidase inhibitor activity (GO:0019828) (GO_Molecular_Function_2021) || focal adhesion (GO:0005925) (GO_Cellular_Component_2021)
3027       | CD4 T cells (0.52)        | actin cytoskeleton (GO:0015629) (GO_Cellular_Component_2021) || cytoskeleton (GO:0005856) (GO_Cellular_Component_2021) || GTPase activator activity (GO:0005096) (GO_Molecular_Function_2021)
2633       | CD4 T cells (0.38)        | deoxyribonuclease I activity (GO:0004530) (GO_Molecular_Function_2021) || alpha-1,4-glucosidase activity (GO:0004558) (GO_Molecular_Function_2021) || alpha-glucosidase activity (GO:0090599) (GO_Molecular_Function_2021)
4823       | B cells (-0.20)           | long-chain fatty-acyl-CoA metabolic process (GO:0035336) (GO_Biological_Process_2021) || trans-Golgi network (GO:0005802) (GO_Cellular_Component_2021) || nucleolus (GO:0005730) (GO_Cellular_Component_2021)
1127       | NK cells (-0.26)          | protein phosphatase 2B binding (GO:0030346) (GO_Molecular_Function_2021) || PRC1 complex (GO:0035102) (GO_Cellular_Component_2021) || MLL1 complex (GO:0071339) (GO_Cellular_Component_2021)
4789       | NK cells (0.29)           | phosphatidylinositol-3-phosphatase activity (GO:0004438) (GO_Molecular_Function_2021) || phosphatidylinositol monophosphate phosphatase activity (GO:0052744) (GO_Molecular_Function_2021) || mannosyltransferase activity (GO:0000030) (GO_Molecular_Function_2021)
