Analyzing: Layer 12, 8x expansion (K=32)
Directory: /biodata/nyanovsky/datasets/pbmc3k/layer_12/sae_k_32_5120_online/interpretations_filter_zero_expressed

Feature    | Top Cell Type (r)         | Top Significant GO Terms
3579       | B cells (-0.38)           | organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021) || mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021)
461        | CD4 T cells (0.55)        | nuclear receptor binding (GO:0016922) (GO_Molecular_Function_2021) || exodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016895) (GO_Molecular_Function_2021) || vitamin D receptor binding (GO:0042809) (GO_Molecular_Function_2021)
3831       | CD4 T cells (0.45)        | protein repair (GO:0030091) (GO_Biological_Process_2021) || positive regulation of establishment of protein localization to telomere (GO:1904851) (GO_Biological_Process_2021) || membrane lipid catabolic process (GO:0046466) (GO_Biological_Process_2021)
101        | CD4 T cells (0.51)        | response to lipopolysaccharide (GO:0032496) (GO_Biological_Process_2021) || regulation of interleukin-12 production (GO:0032655) (GO_Biological_Process_2021) || response to molecule of bacterial origin (GO:0002237) (GO_Biological_Process_2021)
2688       | CD14+ Monocytes (-0.30)   | nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021)
3435       | CD4 T cells (0.67)        | glycerophospholipid biosynthetic process (GO:0046474) (GO_Biological_Process_2021) || placenta development (GO:0001890) (GO_Biological_Process_2021) || membrane protein ectodomain proteolysis (GO:0006509) (GO_Biological_Process_2021)
4659       | CD4 T cells (-0.33)       | protein N-linked glycosylation (GO:0006487) (GO_Biological_Process_2021) || glucosidase activity (GO:0015926) (GO_Molecular_Function_2021)
4963       | CD14+ Monocytes (0.61)    | Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096) (GO_Biological_Process_2021) || Fc-gamma receptor signaling pathway (GO:0038094) (GO_Biological_Process_2021) || Fc receptor mediated stimulatory signaling pathway (GO:0002431) (GO_Biological_Process_2021)
3242       | FCGR3A+ Monocytes (-0.35) | mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021)
4112       | FCGR3A+ Monocytes (-0.19) | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || isocitrate dehydrogenase activity (GO:0004448) (GO_Molecular_Function_2021)
4087       | CD4 T cells (0.39)        | ribosome (GO:0005840) (GO_Cellular_Component_2021) || SRP-dependent cotranslational protein targeting to membrane (GO:0006614) (GO_Biological_Process_2021) || cytoplasmic translation (GO:0002181) (GO_Biological_Process_2021)
1620       | CD4 T cells (-0.41)       | cellular response to starvation (GO:0009267) (GO_Biological_Process_2021) || sterol biosynthetic process (GO:0016126) (GO_Biological_Process_2021) || cellular response to glucose starvation (GO:0042149) (GO_Biological_Process_2021)
4418       | NK cells (-0.30)          | ncRNA processing (GO:0034470) (GO_Biological_Process_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || nucleolus (GO:0005730) (GO_Cellular_Component_2021)
3737       | NK cells (-0.27)          | mitochondrial translation (GO:0032543) (GO_Biological_Process_2021)
2690       | CD14+ Monocytes (-0.41)   | mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021) || tertiary granule (GO:0070820) (GO_Cellular_Component_2021)
4099       | CD4 T cells (0.59)        | late endosome (GO:0005770) (GO_Cellular_Component_2021)
2662       | CD8 T cells (0.20)        | single-stranded DNA 3'-5' exodeoxyribonuclease activity (GO:0008310) (GO_Molecular_Function_2021) || single-stranded DNA exodeoxyribonuclease activity (GO:0008297) (GO_Molecular_Function_2021) || 3'-5'-exodeoxyribonuclease activity (GO:0008296) (GO_Molecular_Function_2021)
3365       | CD4 T cells (-0.29)       | mRNA binding (GO:0003729) (GO_Molecular_Function_2021)
4186       | CD14+ Monocytes (-0.64)   | cellular copper ion homeostasis (GO:0006878) (GO_Biological_Process_2021) || copper ion homeostasis (GO:0055070) (GO_Biological_Process_2021) || cellular transition metal ion homeostasis (GO:0046916) (GO_Biological_Process_2021)
4813       | CD4 T cells (0.74)        | regulation of cytoskeleton organization (GO:0051493) (GO_Biological_Process_2021) || nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway (GO:0035872) (GO_Biological_Process_2021) || cytoplasmic pattern recognition receptor signaling pathway (GO:0002753) (GO_Biological_Process_2021)
1321       | NK cells (0.29)           | negative regulation of sterol biosynthetic process (GO:0106119) (GO_Biological_Process_2021) || negative regulation of cholesterol biosynthetic process (GO:0045541) (GO_Biological_Process_2021) || negative regulation of cholesterol metabolic process (GO:0090206) (GO_Biological_Process_2021)
2192       | CD14+ Monocytes (-0.52)   | negative regulation of cell cycle G2/M phase transition (GO:1902750) (GO_Biological_Process_2021) || negative regulation of G2/M transition of mitotic cell cycle (GO:0010972) (GO_Biological_Process_2021) || regulation of cellular amine metabolic process (GO:0033238) (GO_Biological_Process_2021)
2412       | CD4 T cells (-0.32)       | SAGA-type complex (GO:0070461) (GO_Cellular_Component_2021) || PCAF complex (GO:0000125) (GO_Cellular_Component_2021) || Swr1 complex (GO:0000812) (GO_Cellular_Component_2021)
2392       | CD14+ Monocytes (-0.65)   | negative regulation of dendritic cell differentiation (GO:2001199) (GO_Biological_Process_2021) || negative regulation of leukocyte differentiation (GO:1902106) (GO_Biological_Process_2021) || amyloid-beta binding (GO:0001540) (GO_Molecular_Function_2021)
1239       | CD4 T cells (0.57)        | positive regulation of early endosome to late endosome transport (GO:2000643) (GO_Biological_Process_2021) || positive regulation of cytoplasmic transport (GO:1903651) (GO_Biological_Process_2021) || T cell proliferation (GO:0042098) (GO_Biological_Process_2021)
4883       | CD14+ Monocytes (0.34)    | MIB complex (GO:0140275) (GO_Cellular_Component_2021) || SAM complex (GO:0001401) (GO_Cellular_Component_2021) || mitochondrial outer membrane translocase complex (GO:0005742) (GO_Cellular_Component_2021)
400        | CD14+ Monocytes (0.43)    | ERAD pathway (GO:0036503) (GO_Biological_Process_2021) || COPI vesicle coat (GO:0030126) (GO_Cellular_Component_2021) || COPI-coated vesicle membrane (GO:0030663) (GO_Cellular_Component_2021)
1599       | CD4 T cells (0.56)        | modification-dependent macromolecule catabolic process (GO:0043632) (GO_Biological_Process_2021) || MHC class I protein complex binding (GO:0023024) (GO_Molecular_Function_2021)
3550       | CD14+ Monocytes (-0.57)   | acid-thiol ligase activity (GO:0016878) (GO_Molecular_Function_2021) || CoA-ligase activity (GO:0016405) (GO_Molecular_Function_2021)
1872       | CD4 T cells (0.37)        | organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021) || integral component of mitochondrial membrane (GO:0032592) (GO_Cellular_Component_2021) || mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021)
298        | CD4 T cells (0.47)        | protein targeting to ER (GO:0045047) (GO_Biological_Process_2021) || SRP-dependent cotranslational protein targeting to membrane (GO:0006614) (GO_Biological_Process_2021) || cytoplasmic translation (GO:0002181) (GO_Biological_Process_2021)
2348       | CD4 T cells (0.41)        | RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377) (GO_Biological_Process_2021) || mRNA splicing, via spliceosome (GO:0000398) (GO_Biological_Process_2021) || protection from non-homologous end joining at telomere (GO:0031848) (GO_Biological_Process_2021)
1783       | NK cells (-0.18)          | poly(G) binding (GO:0034046) (GO_Molecular_Function_2021)
331        | NK cells (-0.35)          | mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021) || mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021)
2772       | CD14+ Monocytes (0.57)    | defense response to symbiont (GO:0140546) (GO_Biological_Process_2021) || defense response to virus (GO:0051607) (GO_Biological_Process_2021) || cellular response to type I interferon (GO:0071357) (GO_Biological_Process_2021)
942        | CD14+ Monocytes (-0.32)   | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || Golgi stack (GO:0005795) (GO_Cellular_Component_2021) || 7-methylguanosine mRNA capping (GO:0006370) (GO_Biological_Process_2021)
4693       | CD14+ Monocytes (-0.62)   | mitochondrial translation (GO:0032543) (GO_Biological_Process_2021) || mitochondrial translational elongation (GO:0070125) (GO_Biological_Process_2021) || mitochondrial translational termination (GO:0070126) (GO_Biological_Process_2021)
3613       | CD14+ Monocytes (0.41)    | isocitrate dehydrogenase activity (GO:0004448) (GO_Molecular_Function_2021) || mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021) || intracellular organelle lumen (GO:0070013) (GO_Cellular_Component_2021)
1397       | CD14+ Monocytes (-0.61)   | oxysterol binding (GO:0008142) (GO_Molecular_Function_2021) || eukaryotic initiation factor 4E binding (GO:0008190) (GO_Molecular_Function_2021)
745        | CD4 T cells (0.39)        | ncRNA processing (GO:0034470) (GO_Biological_Process_2021) || rRNA metabolic process (GO:0016072) (GO_Biological_Process_2021) || rRNA processing (GO:0006364) (GO_Biological_Process_2021)
3099       | B cells (0.37)            | aromatic amino acid transmembrane transporter activity (GO:0015173) (GO_Molecular_Function_2021) || cation transmembrane transporter activity (GO:0008324) (GO_Molecular_Function_2021) || amino acid transmembrane transporter activity (GO:0015171) (GO_Molecular_Function_2021)
3440       | NK cells (-0.29)          | SRP-dependent cotranslational protein targeting to membrane (GO:0006614) (GO_Biological_Process_2021) || cytoplasmic translation (GO:0002181) (GO_Biological_Process_2021) || cotranslational protein targeting to membrane (GO:0006613) (GO_Biological_Process_2021)
4005       | CD4 T cells (-0.44)       | endoribonuclease activity, producing 5'-phosphomonoesters (GO:0016891) (GO_Molecular_Function_2021) || endoribonuclease activity (GO:0004521) (GO_Molecular_Function_2021) || catalytic activity, acting on a tRNA (GO:0140101) (GO_Molecular_Function_2021)
1450       | CD4 T cells (0.43)        | maturation of SSU-rRNA (GO:0030490) (GO_Biological_Process_2021) || nucleolus (GO:0005730) (GO_Cellular_Component_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021)
4448       | CD4 T cells (-0.54)       | phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity (GO:0052629) (GO_Molecular_Function_2021) || phosphatidylinositol-3,5-bisphosphate phosphatase activity (GO:0106018) (GO_Molecular_Function_2021) || regulation of phosphatidylinositol dephosphorylation (GO:0060304) (GO_Biological_Process_2021)
3011       | FCGR3A+ Monocytes (-0.21) | nucleolus (GO:0005730) (GO_Cellular_Component_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021) || 90S preribosome (GO:0030686) (GO_Cellular_Component_2021)
5082       | CD14+ Monocytes (-0.21)   | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || mRNA binding (GO:0003729) (GO_Molecular_Function_2021) || translation (GO:0006412) (GO_Biological_Process_2021)
1312       | CD14+ Monocytes (-0.63)   | anchored component of external side of plasma membrane (GO:0031362) (GO_Cellular_Component_2021) || U2-type spliceosomal complex (GO:0005684) (GO_Cellular_Component_2021) || endocytic vesicle lumen (GO:0071682) (GO_Cellular_Component_2021)
4729       | CD4 T cells (0.57)        | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || mRNA splicing, via spliceosome (GO:0000398) (GO_Biological_Process_2021) || mRNA processing (GO:0006397) (GO_Biological_Process_2021)
786        | CD14+ Monocytes (-0.40)   | membrane organization (GO:0061024) (GO_Biological_Process_2021) || protein import (GO:0017038) (GO_Biological_Process_2021) || antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886) (GO_Biological_Process_2021)
1045       | B cells (-0.34)           | focal adhesion (GO:0005925) (GO_Cellular_Component_2021) || cell-substrate junction (GO:0030055) (GO_Cellular_Component_2021) || PTW/PP1 phosphatase complex (GO:0072357) (GO_Cellular_Component_2021)
1277       | CD14+ Monocytes (-0.59)   | protein K48-linked ubiquitination (GO:0070936) (GO_Biological_Process_2021) || protein ubiquitination (GO:0016567) (GO_Biological_Process_2021) || modification-dependent protein catabolic process (GO:0019941) (GO_Biological_Process_2021)
2578       | FCGR3A+ Monocytes (-0.18) | aminoacyl-tRNA editing activity (GO:0002161) (GO_Molecular_Function_2021) || tRNA aminoacylation for mitochondrial protein translation (GO:0070127) (GO_Biological_Process_2021) || base-excision repair (GO:0006284) (GO_Biological_Process_2021)
3102       | CD4 T cells (0.66)        | regulation of primary metabolic process (GO:0080090) (GO_Biological_Process_2021) || regulation of cellular amino acid metabolic process (GO:0006521) (GO_Biological_Process_2021) || RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377) (GO_Biological_Process_2021)
1705       | CD4 T cells (0.67)        | nucleus (GO:0005634) (GO_Cellular_Component_2021) || Cul4-RING E3 ubiquitin ligase complex (GO:0080008) (GO_Cellular_Component_2021) || Cul4A-RING E3 ubiquitin ligase complex (GO:0031464) (GO_Cellular_Component_2021)
2868       | CD14+ Monocytes (0.55)    | response to unfolded protein (GO:0006986) (GO_Biological_Process_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021) || Hsp90 protein binding (GO:0051879) (GO_Molecular_Function_2021)
2681       | CD14+ Monocytes (0.36)    | regulation of transcription, DNA-templated (GO:0006355) (GO_Biological_Process_2021) || regulation of nucleic acid-templated transcription (GO:1903506) (GO_Biological_Process_2021) || regulation of cellular macromolecule biosynthetic process (GO:2000112) (GO_Biological_Process_2021)
3071       | CD4 T cells (0.32)        | nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || cullin-RING ubiquitin ligase complex (GO:0031461) (GO_Cellular_Component_2021)
3816       | CD4 T cells (0.54)        | autophagosome membrane docking (GO:0016240) (GO_Biological_Process_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
1944       | NK cells (-0.24)          | defense response to symbiont (GO:0140546) (GO_Biological_Process_2021) || defense response to virus (GO:0051607) (GO_Biological_Process_2021) || positive regulation of interferon-beta production (GO:0032728) (GO_Biological_Process_2021)
2189       | CD14+ Monocytes (0.62)    | cellular response to type I interferon (GO:0071357) (GO_Biological_Process_2021) || type I interferon signaling pathway (GO:0060337) (GO_Biological_Process_2021) || defense response to symbiont (GO:0140546) (GO_Biological_Process_2021)
4575       | CD4 T cells (0.39)        | acid-amino acid ligase activity (GO:0016881) (GO_Molecular_Function_2021) || glutathione biosynthetic process (GO:0006750) (GO_Biological_Process_2021) || nonribosomal peptide biosynthetic process (GO:0019184) (GO_Biological_Process_2021)
4397       | NK cells (0.37)           | nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184) (GO_Biological_Process_2021) || cytoplasmic translation (GO:0002181) (GO_Biological_Process_2021) || SRP-dependent cotranslational protein targeting to membrane (GO:0006614) (GO_Biological_Process_2021)
3526       | CD14+ Monocytes (-0.47)   | taurine metabolic process (GO:0019530) (GO_Biological_Process_2021) || cellular response to interleukin-9 (GO:0071355) (GO_Biological_Process_2021) || interleukin-9-mediated signaling pathway (GO:0038113) (GO_Biological_Process_2021)
5060       | CD14+ Monocytes (0.40)    | cellular response to type I interferon (GO:0071357) (GO_Biological_Process_2021) || type I interferon signaling pathway (GO:0060337) (GO_Biological_Process_2021) || interferon-gamma-mediated signaling pathway (GO:0060333) (GO_Biological_Process_2021)
5084       | CD8 T cells (-0.21)       | mismatch repair (GO:0006298) (GO_Biological_Process_2021) || DNA-dependent DNA replication maintenance of fidelity (GO:0045005) (GO_Biological_Process_2021)
247        | CD4 T cells (-0.47)       | RNA polymerase II complex binding (GO:0000993) (GO_Molecular_Function_2021) || RNA polymerase core enzyme binding (GO:0043175) (GO_Molecular_Function_2021) || basal RNA polymerase II transcription machinery binding (GO:0001099) (GO_Molecular_Function_2021)
4410       | B cells (0.30)            | positive regulation of monocyte chemotaxis (GO:0090026) (GO_Biological_Process_2021) || regulation of monocyte chemotaxis (GO:0090025) (GO_Biological_Process_2021) || positive regulation of mononuclear cell migration (GO:0071677) (GO_Biological_Process_2021)
4179       | B cells (0.36)            | mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021) || lumenal side of endoplasmic reticulum membrane (GO:0098553) (GO_Cellular_Component_2021) || integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556) (GO_Cellular_Component_2021)
823        | NK cells (-0.11)          | endosomal vesicle fusion (GO:0034058) (GO_Biological_Process_2021) || lytic vacuole (GO:0000323) (GO_Cellular_Component_2021) || nucleotide-sugar biosynthetic process (GO:0009226) (GO_Biological_Process_2021)
1080       | CD14+ Monocytes (-0.53)   | azurophil granule (GO:0042582) (GO_Cellular_Component_2021) || vacuolar lumen (GO:0005775) (GO_Cellular_Component_2021) || lysosomal lumen (GO:0043202) (GO_Cellular_Component_2021)
1535       | CD14+ Monocytes (-0.59)   | asymmetric synapse (GO:0032279) (GO_Cellular_Component_2021) || endolysosome (GO:0036019) (GO_Cellular_Component_2021) || regulation of endocytosis (GO:0030100) (GO_Biological_Process_2021)
4404       | B cells (-0.32)           | tau protein binding (GO:0048156) (GO_Molecular_Function_2021) || alkali metal ion binding (GO:0031420) (GO_Molecular_Function_2021) || negative regulation of amyloid fibril formation (GO:1905907) (GO_Biological_Process_2021)
4362       | CD4 T cells (-0.47)       | integral component of plasma membrane (GO:0005887) (GO_Cellular_Component_2021) || regulation of interleukin-4 production (GO:0032673) (GO_Biological_Process_2021) || T cell activation (GO:0042110) (GO_Biological_Process_2021)
4867       | CD14+ Monocytes (-0.52)   | damaged DNA binding (GO:0003684) (GO_Molecular_Function_2021) || RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021)
208        | FCGR3A+ Monocytes (-0.32) | cytoplasmic side of plasma membrane (GO:0009898) (GO_Cellular_Component_2021) || glycolipid metabolic process (GO:0006664) (GO_Biological_Process_2021) || IRE1-mediated unfolded protein response (GO:0036498) (GO_Biological_Process_2021)
1086       | CD4 T cells (0.70)        | chemokine binding (GO:0019956) (GO_Molecular_Function_2021) || C-C chemokine receptor activity (GO:0016493) (GO_Molecular_Function_2021) || C-C chemokine binding (GO:0019957) (GO_Molecular_Function_2021)
3710       | CD14+ Monocytes (0.28)    | mRNA splicing, via spliceosome (GO:0000398) (GO_Biological_Process_2021) || RNA methylation (GO:0001510) (GO_Biological_Process_2021) || mRNA processing (GO:0006397) (GO_Biological_Process_2021)
1464       | B cells (-0.25)           | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || regulation of transcription by RNA polymerase II (GO:0006357) (GO_Biological_Process_2021) || regulation of transcription, DNA-templated (GO:0006355) (GO_Biological_Process_2021)
2294       | FCGR3A+ Monocytes (0.26)  | endosome membrane (GO:0010008) (GO_Cellular_Component_2021)
1444       | CD14+ Monocytes (-0.35)   | negative regulation of vitamin D biosynthetic process (GO:0010957) (GO_Biological_Process_2021) || regulation of vitamin D biosynthetic process (GO:0060556) (GO_Biological_Process_2021) || negative regulation of vitamin metabolic process (GO:0046137) (GO_Biological_Process_2021)
1874       | FCGR3A+ Monocytes (0.39)  | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || nucleolus (GO:0005730) (GO_Cellular_Component_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021)
4365       | B cells (-0.45)           | mRNA processing (GO:0006397) (GO_Biological_Process_2021) || regulation of gene expression, epigenetic (GO:0040029) (GO_Biological_Process_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021)
747        | CD4 T cells (0.58)        | mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021) || mitochondrial ribosome (GO:0005761) (GO_Cellular_Component_2021)
4481       | CD14+ Monocytes (0.64)    | negative regulation of heterotypic cell-cell adhesion (GO:0034115) (GO_Biological_Process_2021) || regulation of cell-cell adhesion involved in gastrulation (GO:0070587) (GO_Biological_Process_2021) || membrane raft organization (GO:0031579) (GO_Biological_Process_2021)
4712       | CD4 T cells (0.62)        | negative regulation of ERBB signaling pathway (GO:1901185) (GO_Biological_Process_2021) || negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059) (GO_Biological_Process_2021) || regulation of epidermal growth factor receptor signaling pathway (GO:0042058) (GO_Biological_Process_2021)
1242       | CD4 T cells (0.45)        | oligosaccharyl transferase activity (GO:0004576) (GO_Molecular_Function_2021) || RNA-directed DNA polymerase activity (GO:0003964) (GO_Molecular_Function_2021) || telomerase activity (GO:0003720) (GO_Molecular_Function_2021)
4319       | CD14+ Monocytes (-0.53)   | serine/threonine protein kinase complex (GO:1902554) (GO_Cellular_Component_2021) || regulation of activin receptor signaling pathway (GO:0032925) (GO_Biological_Process_2021)
2322       | B cells (0.19)            | RNA 2'-O-methyltransferase activity (GO:0062105) (GO_Molecular_Function_2021) || phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity (GO:0052629) (GO_Molecular_Function_2021) || rRNA methyltransferase activity (GO:0008649) (GO_Molecular_Function_2021)
4317       | CD14+ Monocytes (-0.15)   | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || cytosolic small ribosomal subunit (GO:0022627) (GO_Cellular_Component_2021) || small ribosomal subunit (GO:0015935) (GO_Cellular_Component_2021)
1417       | FCGR3A+ Monocytes (-0.23) | cellular amide metabolic process (GO:0043603) (GO_Biological_Process_2021) || water-soluble vitamin metabolic process (GO:0006767) (GO_Biological_Process_2021)
1339       | CD14+ Monocytes (-0.24)   | AP-1 adaptor complex (GO:0030121) (GO_Cellular_Component_2021) || clathrin coat of trans-Golgi network vesicle (GO:0030130) (GO_Cellular_Component_2021) || hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) (GO_Molecular_Function_2021)
1776       | CD14+ Monocytes (0.26)    | multivesicular body membrane (GO:0032585) (GO_Cellular_Component_2021) || regulation of cellular response to vascular endothelial growth factor stimulus (GO:1902547) (GO_Biological_Process_2021) || calcium ion export (GO:1901660) (GO_Biological_Process_2021)
2993       | CD4 T cells (-0.45)       | mitotic spindle organization (GO:0007052) (GO_Biological_Process_2021) || spindle microtubule (GO:0005876) (GO_Cellular_Component_2021) || mitotic nuclear division (GO:0140014) (GO_Biological_Process_2021)
2908       | CD8 T cells (-0.18)       | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021)
1301       | CD14+ Monocytes (-0.61)   | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || endoplasmic reticulum membrane (GO:0005789) (GO_Cellular_Component_2021) || rough endoplasmic reticulum (GO:0005791) (GO_Cellular_Component_2021)
1602       | NK cells (-0.35)          | isocitrate dehydrogenase activity (GO:0004448) (GO_Molecular_Function_2021) || flavin adenine dinucleotide binding (GO:0050660) (GO_Molecular_Function_2021)
4051       | CD14+ Monocytes (0.39)    | N-methyltransferase activity (GO:0008170) (GO_Molecular_Function_2021) || sequence-specific DNA binding (GO:0043565) (GO_Molecular_Function_2021) || sequence-specific double-stranded DNA binding (GO:1990837) (GO_Molecular_Function_2021)
1148       | CD14+ Monocytes (-0.41)   | regulation of natural killer cell mediated immunity (GO:0002715) (GO_Biological_Process_2021) || regulation of immune response (GO:0050776) (GO_Biological_Process_2021) || T-helper 17 cell differentiation (GO:0072539) (GO_Biological_Process_2021)
3248       | NK cells (-0.28)          | tubulin binding (GO:0015631) (GO_Molecular_Function_2021) || beta-catenin-TCF complex (GO:1990907) (GO_Cellular_Component_2021)
1976       | CD14+ Monocytes (-0.57)   | galactose catabolic process (GO:0019388) (GO_Biological_Process_2021) || galactose metabolic process (GO:0006012) (GO_Biological_Process_2021)
128        | B cells (0.34)            | intronic transcription regulatory region sequence-specific DNA binding (GO:0001161) (GO_Molecular_Function_2021) || NADPH binding (GO:0070402) (GO_Molecular_Function_2021)
3132       | CD4 T cells (0.17)        | tRNA export from nucleus (GO:0006409) (GO_Biological_Process_2021) || tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431) (GO_Biological_Process_2021) || tRNA transport (GO:0051031) (GO_Biological_Process_2021)
4506       | CD14+ Monocytes (-0.63)   | neutrophil degranulation (GO:0043312) (GO_Biological_Process_2021) || neutrophil activation involved in immune response (GO:0002283) (GO_Biological_Process_2021) || neutrophil mediated immunity (GO:0002446) (GO_Biological_Process_2021)
2419       | CD14+ Monocytes (-0.42)   | nuclear import signal receptor activity (GO:0061608) (GO_Molecular_Function_2021) || nuclear localization sequence binding (GO:0008139) (GO_Molecular_Function_2021) || signal sequence binding (GO:0005048) (GO_Molecular_Function_2021)
438        | NK cells (0.27)           | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021)
3674       | B cells (0.58)            | integral component of plasma membrane (GO:0005887) (GO_Cellular_Component_2021) || calcium-mediated signaling (GO:0019722) (GO_Biological_Process_2021) || second-messenger-mediated signaling (GO:0019932) (GO_Biological_Process_2021)
3783       | CD14+ Monocytes (-0.45)   | DNA dealkylation (GO:0035510) (GO_Biological_Process_2021) || DNA dealkylation involved in DNA repair (GO:0006307) (GO_Biological_Process_2021)
2346       | CD4 T cells (-0.77)       | neutrophil degranulation (GO:0043312) (GO_Biological_Process_2021) || neutrophil activation involved in immune response (GO:0002283) (GO_Biological_Process_2021) || neutrophil mediated immunity (GO:0002446) (GO_Biological_Process_2021)
4655       | CD4 T cells (0.54)        | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
3483       | CD14+ Monocytes (-0.57)   | brush border membrane (GO:0031526) (GO_Cellular_Component_2021) || plasma membrane raft (GO:0044853) (GO_Cellular_Component_2021) || cell projection membrane (GO:0031253) (GO_Cellular_Component_2021)
3317       | CD14+ Monocytes (-0.33)   | maintenance of animal organ identity (GO:0048496) (GO_Biological_Process_2021) || cilium organization (GO:0044782) (GO_Biological_Process_2021) || plasma membrane bounded cell projection assembly (GO:0120031) (GO_Biological_Process_2021)
2166       | CD14+ Monocytes (-0.57)   | collagen-containing extracellular matrix (GO:0062023) (GO_Cellular_Component_2021) || negative regulation of peptidase activity (GO:0010466) (GO_Biological_Process_2021) || negative regulation of metallopeptidase activity (GO:1905049) (GO_Biological_Process_2021)
4473       | CD4 T cells (0.74)        | poly(A) binding (GO:0008143) (GO_Molecular_Function_2021) || poly-purine tract binding (GO:0070717) (GO_Molecular_Function_2021) || beta-tubulin binding (GO:0048487) (GO_Molecular_Function_2021)
3763       | B cells (-0.28)           | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || ribosomal small subunit binding (GO:0043024) (GO_Molecular_Function_2021) || ubiquitin protein ligase binding (GO:0031625) (GO_Molecular_Function_2021)
2951       | CD14+ Monocytes (-0.36)   | focal adhesion (GO:0005925) (GO_Cellular_Component_2021) || cell-substrate junction (GO:0030055) (GO_Cellular_Component_2021) || vinculin binding (GO:0017166) (GO_Molecular_Function_2021)
852        | NK cells (0.32)           | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || regulation of transcription, DNA-templated (GO:0006355) (GO_Biological_Process_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021)
