Analyzing: Layer 15, 8x expansion (K=32)
Directory: /biodata/nyanovsky/datasets/pbmc3k/layer_15/sae_k_32_5120/interpretations_filter_zero_expressed

Feature    | Top Cell Type (r)         | Top Significant GO Terms
4757       | CD4 T cells (0.53)        | positive regulation of gamma-delta T cell activation (GO:0046645) (GO_Biological_Process_2021) || negative regulation of leukocyte apoptotic process (GO:2000107) (GO_Biological_Process_2021) || DNA catabolic process (GO:0006308) (GO_Biological_Process_2021)
4528       | CD4 T cells (0.61)        | Cul3-RING ubiquitin ligase complex (GO:0031463) (GO_Cellular_Component_2021) || positive regulation of release of cytochrome c from mitochondria (GO:0090200) (GO_Biological_Process_2021) || regulation of release of cytochrome c from mitochondria (GO:0090199) (GO_Biological_Process_2021)
3554       | CD8 T cells (0.19)        | carboxylic ester hydrolase activity (GO:0052689) (GO_Molecular_Function_2021) || RNA 2'-O-methyltransferase activity (GO:0062105) (GO_Molecular_Function_2021) || arylesterase activity (GO:0004064) (GO_Molecular_Function_2021)
1194       | CD4 T cells (0.59)        | DNA secondary structure binding (GO:0000217) (GO_Molecular_Function_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
4272       | CD14+ Monocytes (-0.43)   | RNA polymerase core enzyme binding (GO:0043175) (GO_Molecular_Function_2021)
5044       | CD14+ Monocytes (-0.39)   | U5 snRNP (GO:0005682) (GO_Cellular_Component_2021) || spliceosomal tri-snRNP complex (GO:0097526) (GO_Cellular_Component_2021) || U4/U6 x U5 tri-snRNP complex (GO:0046540) (GO_Cellular_Component_2021)
3592       | B cells (-0.29)           | rRNA processing (GO:0006364) (GO_Biological_Process_2021) || ribosome biogenesis (GO:0042254) (GO_Biological_Process_2021) || exonucleolytic catabolism of deadenylated mRNA (GO:0043928) (GO_Biological_Process_2021)
1211       | CD14+ Monocytes (-0.38)   | phosphatidylinositol biosynthetic process (GO:0006661) (GO_Biological_Process_2021) || positive regulation of small molecule metabolic process (GO:0062013) (GO_Biological_Process_2021)
669        | NK cells (-0.27)          | phospholipase activity (GO:0004620) (GO_Molecular_Function_2021) || calcium-independent phospholipase A2 activity (GO:0047499) (GO_Molecular_Function_2021)
5111       | CD14+ Monocytes (0.47)    | phosphorylation (GO:0016310) (GO_Biological_Process_2021) || protein phosphorylation (GO:0006468) (GO_Biological_Process_2021) || protein serine/threonine kinase activity (GO:0004674) (GO_Molecular_Function_2021)
771        | CD4 T cells (-0.43)       | ferric iron binding (GO:0008199) (GO_Molecular_Function_2021) || ferroxidase activity (GO:0004322) (GO_Molecular_Function_2021) || oxidoreductase activity, acting on metal ions, oxygen as acceptor (GO:0016724) (GO_Molecular_Function_2021)
1630       | NK cells (-0.23)          | regulation of cellular response to stress (GO:0080135) (GO_Biological_Process_2021) || ubiquitin binding (GO:0043130) (GO_Molecular_Function_2021) || positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440) (GO_Biological_Process_2021)
3028       | CD4 T cells (0.64)        | regulation of small GTPase mediated signal transduction (GO:0051056) (GO_Biological_Process_2021) || cAMP-dependent protein kinase activity (GO:0004691) (GO_Molecular_Function_2021) || cyclic nucleotide-dependent protein kinase activity (GO:0004690) (GO_Molecular_Function_2021)
3519       | B cells (-0.44)           | specific granule lumen (GO:0035580) (GO_Cellular_Component_2021) || tight junction (GO:0070160) (GO_Cellular_Component_2021) || apical junction complex (GO:0043296) (GO_Cellular_Component_2021)
3339       | CD4 T cells (-0.67)       | regulation of cytokine production (GO:0001817) (GO_Biological_Process_2021) || regulation of interferon-beta production (GO:0032648) (GO_Biological_Process_2021) || detection of virus (GO:0009597) (GO_Biological_Process_2021)
250        | CD14+ Monocytes (-0.50)   | cadherin binding (GO:0045296) (GO_Molecular_Function_2021) || L-leucine transmembrane transporter activity (GO:0015190) (GO_Molecular_Function_2021) || 1-acylglycerophosphocholine O-acyltransferase activity (GO:0047184) (GO_Molecular_Function_2021)
4393       | CD8 T cells (0.32)        | mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021) || rRNA (adenine) methyltransferase activity (GO:0016433) (GO_Molecular_Function_2021) || N-methyltransferase activity (GO:0008170) (GO_Molecular_Function_2021)
4139       | B cells (0.44)            | NSL complex (GO:0044545) (GO_Cellular_Component_2021) || regulation of anatomical structure morphogenesis (GO:0022603) (GO_Biological_Process_2021) || H4 histone acetyltransferase complex (GO:1902562) (GO_Cellular_Component_2021)
690        | CD4 T cells (0.20)        | response to hydrogen peroxide (GO:0042542) (GO_Biological_Process_2021) || response to reactive oxygen species (GO:0000302) (GO_Biological_Process_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
3898       | B cells (0.45)            | calmodulin-dependent protein phosphatase activity (GO:0033192) (GO_Molecular_Function_2021) || calcium-dependent protein serine/threonine phosphatase activity (GO:0004723) (GO_Molecular_Function_2021)
2355       | FCGR3A+ Monocytes (0.25)  | regulation of transcription, DNA-templated (GO:0006355) (GO_Biological_Process_2021) || negative regulation of transcription, DNA-templated (GO:0045892) (GO_Biological_Process_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021)
4720       | CD14+ Monocytes (-0.49)   | organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021) || phosphatidylethanolamine binding (GO:0008429) (GO_Molecular_Function_2021) || histone methyltransferase binding (GO:1990226) (GO_Molecular_Function_2021)
2960       | B cells (0.22)            | anchored component of external side of plasma membrane (GO:0031362) (GO_Cellular_Component_2021) || intrinsic component of external side of plasma membrane (GO:0031233) (GO_Cellular_Component_2021) || folic acid transport (GO:0015884) (GO_Biological_Process_2021)
2005       | CD14+ Monocytes (-0.39)   | oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor (GO:0016671) (GO_Molecular_Function_2021) || oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668) (GO_Molecular_Function_2021) || TAP1 binding (GO:0046978) (GO_Molecular_Function_2021)
2517       | B cells (0.56)            | GTPase activator activity (GO:0005096) (GO_Molecular_Function_2021) || non-membrane spanning protein tyrosine phosphatase activity (GO:0004726) (GO_Molecular_Function_2021) || neutrophil degranulation (GO:0043312) (GO_Biological_Process_2021)
3569       | B cells (-0.46)           | cellular biogenic amine catabolic process (GO:0042402) (GO_Biological_Process_2021)
2684       | CD14+ Monocytes (-0.26)   | regulation of phosphatase activity (GO:0010921) (GO_Biological_Process_2021) || negative regulation of phosphatase activity (GO:0010923) (GO_Biological_Process_2021) || mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021)
2421       | CD4 T cells (-0.68)       | positive regulation of monocyte chemotaxis (GO:0090026) (GO_Biological_Process_2021) || regulation of monocyte chemotaxis (GO:0090025) (GO_Biological_Process_2021) || positive regulation of mononuclear cell migration (GO:0071677) (GO_Biological_Process_2021)
2655       | CD14+ Monocytes (-0.54)   | solute:proton antiporter activity (GO:0015299) (GO_Molecular_Function_2021) || protein phosphatase 2B binding (GO:0030346) (GO_Molecular_Function_2021) || solute:cation antiporter activity (GO:0015298) (GO_Molecular_Function_2021)
1387       | CD4 T cells (0.43)        | manganese ion binding (GO:0030145) (GO_Molecular_Function_2021)
2471       | B cells (-0.42)           | P-type sodium transporter activity (GO:0008554) (GO_Molecular_Function_2021) || P-type sodium:potassium-exchanging transporter activity (GO:0005391) (GO_Molecular_Function_2021) || sodium ion binding (GO:0031402) (GO_Molecular_Function_2021)
1889       | CD14+ Monocytes (0.65)    | SRP-dependent cotranslational protein targeting to membrane (GO:0006614) (GO_Biological_Process_2021) || cotranslational protein targeting to membrane (GO:0006613) (GO_Biological_Process_2021) || protein targeting to ER (GO:0045047) (GO_Biological_Process_2021)
3150       | CD4 T cells (-0.58)       | trans-Golgi network membrane (GO:0032588) (GO_Cellular_Component_2021) || coated vesicle (GO:0030135) (GO_Cellular_Component_2021) || Golgi organization (GO:0007030) (GO_Biological_Process_2021)
1640       | CD14+ Monocytes (-0.31)   | cytoplasmic stress granule (GO:0010494) (GO_Cellular_Component_2021) || npBAF complex (GO:0071564) (GO_Cellular_Component_2021) || RISC complex (GO:0016442) (GO_Cellular_Component_2021)
3822       | CD14+ Monocytes (-0.26)   | negative regulation of transcription by RNA polymerase II (GO:0000122) (GO_Biological_Process_2021) || regulation of circadian sleep/wake cycle (GO:0042749) (GO_Biological_Process_2021) || transcription cis-regulatory region binding (GO:0000976) (GO_Molecular_Function_2021)
940        | CD4 T cells (0.59)        | sequestering of actin monomers (GO:0042989) (GO_Biological_Process_2021) || morphogenesis of a polarized epithelium (GO:0001738) (GO_Biological_Process_2021) || protein localization to cell-cell junction (GO:0150105) (GO_Biological_Process_2021)
4784       | CD4 T cells (0.66)        | mechanosensitive ion channel activity (GO:0008381) (GO_Molecular_Function_2021) || gated channel activity (GO:0022836) (GO_Molecular_Function_2021) || ion channel activity (GO:0005216) (GO_Molecular_Function_2021)
4906       | CD14+ Monocytes (-0.58)   | nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || RNA processing (GO:0006396) (GO_Biological_Process_2021)
1740       | CD4 T cells (0.64)        | negative regulation of receptor signaling pathway via JAK-STAT (GO:0046426) (GO_Biological_Process_2021)
294        | CD14+ Monocytes (0.47)    | ubiquitin protein ligase binding (GO:0031625) (GO_Molecular_Function_2021) || ubiquitin-like protein ligase binding (GO:0044389) (GO_Molecular_Function_2021) || ribose phosphate diphosphokinase activity (GO:0004749) (GO_Molecular_Function_2021)
2826       | B cells (-0.47)           | cytokine receptor activity (GO:0004896) (GO_Molecular_Function_2021)
4161       | CD14+ Monocytes (-0.64)   | endoplasmic reticulum lumen (GO:0005788) (GO_Cellular_Component_2021) || intracellular organelle lumen (GO:0070013) (GO_Cellular_Component_2021)
4902       | B cells (0.41)            | cytoplasmic vesicle lumen (GO:0060205) (GO_Cellular_Component_2021) || ficolin-1-rich granule lumen (GO:1904813) (GO_Cellular_Component_2021) || CD95 death-inducing signaling complex (GO:0031265) (GO_Cellular_Component_2021)
4353       | CD4 T cells (0.48)        | ADP-ribose diphosphatase activity (GO:0047631) (GO_Molecular_Function_2021) || carbonyl reductase (NADPH) activity (GO:0004090) (GO_Molecular_Function_2021) || muscle contraction (GO:0006936) (GO_Biological_Process_2021)
4444       | CD14+ Monocytes (-0.63)   | cyclin-dependent protein serine/threonine kinase inhibitor activity (GO:0004861) (GO_Molecular_Function_2021)
4785       | B cells (0.54)            | late endosome membrane (GO:0031902) (GO_Cellular_Component_2021) || early endosome membrane (GO:0031901) (GO_Cellular_Component_2021) || phosphatidylinositol 3-kinase complex, class III (GO:0035032) (GO_Cellular_Component_2021)
1820       | CD14+ Monocytes (-0.37)   | mitochondrial translational elongation (GO:0070125) (GO_Biological_Process_2021) || mitochondrial translational termination (GO:0070126) (GO_Biological_Process_2021) || translational termination (GO:0006415) (GO_Biological_Process_2021)
1351       | CD4 T cells (-0.37)       | establishment of protein localization to peroxisome (GO:0072663) (GO_Biological_Process_2021) || peroxisomal transport (GO:0043574) (GO_Biological_Process_2021) || negative regulation of DNA recombination at telomere (GO:0048239) (GO_Biological_Process_2021)
884        | CD14+ Monocytes (-0.62)   | nucleus (GO:0005634) (GO_Cellular_Component_2021) || regulation of cell population proliferation (GO:0042127) (GO_Biological_Process_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
4182       | CD4 T cells (0.47)        | GTPase activator activity (GO:0005096) (GO_Molecular_Function_2021) || TBP-class protein binding (GO:0017025) (GO_Molecular_Function_2021) || GTPase regulator activity (GO:0030695) (GO_Molecular_Function_2021)
4387       | B cells (0.52)            | double-stranded DNA binding (GO:0003690) (GO_Molecular_Function_2021) || sequence-specific DNA binding (GO:0043565) (GO_Molecular_Function_2021) || sequence-specific double-stranded DNA binding (GO:1990837) (GO_Molecular_Function_2021)
2367       | CD4 T cells (0.35)        | neutrophil degranulation (GO:0043312) (GO_Biological_Process_2021) || neutrophil activation involved in immune response (GO:0002283) (GO_Biological_Process_2021) || neutrophil mediated immunity (GO:0002446) (GO_Biological_Process_2021)
2134       | CD4 T cells (0.61)        | microvillus membrane (GO:0031528) (GO_Cellular_Component_2021) || negative regulation of MAPK cascade (GO:0043409) (GO_Biological_Process_2021) || regulation of protein dephosphorylation (GO:0035304) (GO_Biological_Process_2021)
151        | CD14+ Monocytes (0.20)    | COPII vesicle coating (GO:0048208) (GO_Biological_Process_2021) || vesicle coating (GO:0006901) (GO_Biological_Process_2021) || vesicle targeting, rough ER to cis-Golgi (GO:0048207) (GO_Biological_Process_2021)
373        | B cells (-0.51)           | negative regulation of transport (GO:0051051) (GO_Biological_Process_2021)
2932       | FCGR3A+ Monocytes (-0.27) | mitochondrial translational elongation (GO:0070125) (GO_Biological_Process_2021) || mitochondrial translational termination (GO:0070126) (GO_Biological_Process_2021) || translational termination (GO:0006415) (GO_Biological_Process_2021)
4680       | CD4 T cells (0.33)        | mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
2028       | CD14+ Monocytes (-0.42)   | hexose metabolic process (GO:0019318) (GO_Biological_Process_2021) || aspartic-type peptidase activity (GO:0070001) (GO_Molecular_Function_2021) || aspartic-type endopeptidase activity (GO:0004190) (GO_Molecular_Function_2021)
239        | CD4 T cells (0.42)        | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || regulation of leukocyte cell-cell adhesion (GO:1903037) (GO_Biological_Process_2021)
2172       | CD14+ Monocytes (-0.52)   | nuclear chromosome (GO:0000228) (GO_Cellular_Component_2021) || single-stranded DNA helicase activity (GO:0017116) (GO_Molecular_Function_2021)
5096       | CD14+ Monocytes (0.32)    | tRNA methyltransferase activity (GO:0008175) (GO_Molecular_Function_2021) || tRNA (cytosine) methyltransferase activity (GO:0016427) (GO_Molecular_Function_2021) || tRNA methylation (GO:0030488) (GO_Biological_Process_2021)
3268       | CD4 T cells (0.45)        | specific granule membrane (GO:0035579) (GO_Cellular_Component_2021) || regulation of neutrophil chemotaxis (GO:0090022) (GO_Biological_Process_2021) || specific granule (GO:0042581) (GO_Cellular_Component_2021)
4352       | CD4 T cells (0.26)        | ammonia-lyase activity (GO:0016841) (GO_Molecular_Function_2021) || melanocortin receptor binding (GO:0031779) (GO_Molecular_Function_2021) || 5'-3' DNA helicase activity (GO:0043139) (GO_Molecular_Function_2021)
2162       | CD4 T cells (0.76)        | nucleolus (GO:0005730) (GO_Cellular_Component_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021) || cellular response to DNA damage stimulus (GO:0006974) (GO_Biological_Process_2021)
3128       | CD14+ Monocytes (0.44)    | endosome to melanosome transport (GO:0035646) (GO_Biological_Process_2021) || endosome to pigment granule transport (GO:0043485) (GO_Biological_Process_2021) || anterograde synaptic vesicle transport (GO:0048490) (GO_Biological_Process_2021)
1649       | B cells (-0.26)           | ribosome biogenesis (GO:0042254) (GO_Biological_Process_2021) || rRNA metabolic process (GO:0016072) (GO_Biological_Process_2021) || rRNA processing (GO:0006364) (GO_Biological_Process_2021)
610        | CD14+ Monocytes (-0.37)   | regulation of cell cycle process (GO:0010564) (GO_Biological_Process_2021) || neurotrophin TRK receptor binding (GO:0005167) (GO_Molecular_Function_2021) || neurotrophin TRKA receptor binding (GO:0005168) (GO_Molecular_Function_2021)
5046       | CD14+ Monocytes (0.47)    | UDP-xylosyltransferase activity (GO:0035252) (GO_Molecular_Function_2021) || xylosyltransferase activity (GO:0042285) (GO_Molecular_Function_2021) || GABA receptor binding (GO:0050811) (GO_Molecular_Function_2021)
2223       | CD8 T cells (0.26)        | bounding membrane of organelle (GO:0098588) (GO_Cellular_Component_2021)
302        | CD14+ Monocytes (-0.43)   | Cul4-RING E3 ubiquitin ligase complex (GO:0080008) (GO_Cellular_Component_2021) || Cul3-RING ubiquitin ligase complex (GO:0031463) (GO_Cellular_Component_2021) || cullin-RING ubiquitin ligase complex (GO:0031461) (GO_Cellular_Component_2021)
4991       | CD4 T cells (0.53)        | regulation of interferon-beta production (GO:0032648) (GO_Biological_Process_2021) || NIK/NF-kappaB signaling (GO:0038061) (GO_Biological_Process_2021) || negative regulation of NF-kappaB transcription factor activity (GO:0032088) (GO_Biological_Process_2021)
3367       | CD14+ Monocytes (0.59)    | transcription factor TFIIH core complex (GO:0000439) (GO_Cellular_Component_2021) || transcription factor TFIIH holo complex (GO:0005675) (GO_Cellular_Component_2021) || DNA duplex unwinding (GO:0032508) (GO_Biological_Process_2021)
3170       | CD4 T cells (-0.33)       | regulation of cell death (GO:0010941) (GO_Biological_Process_2021) || positive regulation of translation in response to stress (GO:0032056) (GO_Biological_Process_2021) || regulation of sodium:proton antiporter activity (GO:0032415) (GO_Biological_Process_2021)
1394       | CD14+ Monocytes (0.62)    | protease binding (GO:0002020) (GO_Molecular_Function_2021) || MAP kinase tyrosine/serine/threonine phosphatase activity (GO:0017017) (GO_Molecular_Function_2021) || protein tyrosine/threonine phosphatase activity (GO:0008330) (GO_Molecular_Function_2021)
3196       | CD14+ Monocytes (-0.63)   | prostaglandin E receptor activity (GO:0004957) (GO_Molecular_Function_2021) || prostaglandin receptor activity (GO:0004955) (GO_Molecular_Function_2021) || death domain binding (GO:0070513) (GO_Molecular_Function_2021)
1111       | CD14+ Monocytes (-0.43)   | intrinsic apoptotic signaling pathway in response to oxidative stress (GO:0008631) (GO_Biological_Process_2021) || single-stranded RNA binding (GO:0003727) (GO_Molecular_Function_2021) || regulation of T cell receptor signaling pathway (GO:0050856) (GO_Biological_Process_2021)
2760       | CD14+ Monocytes (0.57)    | carbohydrate homeostasis (GO:0033500) (GO_Biological_Process_2021) || glucose homeostasis (GO:0042593) (GO_Biological_Process_2021) || positive regulation of dendritic cell differentiation (GO:2001200) (GO_Biological_Process_2021)
1406       | B cells (-0.24)           | nuclear chromosome (GO:0000228) (GO_Cellular_Component_2021) || oxoglutarate dehydrogenase complex (GO:0045252) (GO_Cellular_Component_2021) || Sin3 complex (GO:0016580) (GO_Cellular_Component_2021)
3879       | CD14+ Monocytes (0.53)    | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || snoRNA binding (GO:0030515) (GO_Molecular_Function_2021) || translation initiation factor activity (GO:0003743) (GO_Molecular_Function_2021)
2519       | CD4 T cells (0.34)        | cis-Golgi network (GO:0005801) (GO_Cellular_Component_2021) || cis-Golgi network membrane (GO:0033106) (GO_Cellular_Component_2021) || COPI vesicle coat (GO:0030126) (GO_Cellular_Component_2021)
1075       | CD14+ Monocytes (-0.58)   | mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021) || protein targeting (GO:0006605) (GO_Biological_Process_2021) || protein insertion into mitochondrial membrane (GO:0051204) (GO_Biological_Process_2021)
3508       | CD4 T cells (-0.65)       | regulation of B cell activation (GO:0050864) (GO_Biological_Process_2021) || innate immune response (GO:0045087) (GO_Biological_Process_2021) || immunoglobulin receptor binding (GO:0034987) (GO_Molecular_Function_2021)
795        | CD14+ Monocytes (-0.62)   | regulation of autophagy of mitochondrion (GO:1903146) (GO_Biological_Process_2021) || cysteine-type peptidase activity (GO:0008234) (GO_Molecular_Function_2021) || cysteine-type endopeptidase activity (GO:0004197) (GO_Molecular_Function_2021)
4265       | CD4 T cells (0.67)        | oxo-acid-lyase activity (GO:0016833) (GO_Molecular_Function_2021) || tumor necrosis factor-activated receptor activity (GO:0005031) (GO_Molecular_Function_2021) || death receptor activity (GO:0005035) (GO_Molecular_Function_2021)
5021       | B cells (0.43)            | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021)
3010       | CD4 T cells (0.62)        | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || nucleolus (GO:0005730) (GO_Cellular_Component_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021)
1027       | CD4 T cells (-0.24)       | protein serine/threonine kinase activity (GO:0004674) (GO_Molecular_Function_2021) || transforming growth factor beta receptor activity, type I (GO:0005025) (GO_Molecular_Function_2021) || activin receptor activity, type I (GO:0016361) (GO_Molecular_Function_2021)
598        | CD4 T cells (-0.53)       | fatty acid beta-oxidation (GO:0006635) (GO_Biological_Process_2021)
1564       | NK cells (-0.32)          | cullin-RING ubiquitin ligase complex (GO:0031461) (GO_Cellular_Component_2021) || SCF ubiquitin ligase complex (GO:0019005) (GO_Cellular_Component_2021) || endoribonuclease activity, producing 5'-phosphomonoesters (GO:0016891) (GO_Molecular_Function_2021)
1764       | B cells (-0.37)           | mRNA cleavage and polyadenylation specificity factor complex (GO:0005847) (GO_Cellular_Component_2021) || regulation of DNA-templated transcription, initiation (GO:2000142) (GO_Biological_Process_2021) || transcription by RNA polymerase II (GO:0006366) (GO_Biological_Process_2021)
1524       | NK cells (0.29)           | regulation of transcription by RNA polymerase II (GO:0006357) (GO_Biological_Process_2021) || DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227) (GO_Molecular_Function_2021) || negative regulation of transcription by RNA polymerase II (GO:0000122) (GO_Biological_Process_2021)
3209       | CD4 T cells (0.27)        | 4 iron, 4 sulfur cluster binding (GO:0051539) (GO_Molecular_Function_2021)
4971       | NK cells (-0.27)          | phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity (GO:0004439) (GO_Molecular_Function_2021) || phosphatidylinositol phosphate 5-phosphatase activity (GO:0034595) (GO_Molecular_Function_2021) || L-aspartate transmembrane transporter activity (GO:0015183) (GO_Molecular_Function_2021)
173        | CD14+ Monocytes (-0.33)   | ficolin-1-rich granule (GO:0101002) (GO_Cellular_Component_2021) || neutrophil degranulation (GO:0043312) (GO_Biological_Process_2021) || neutrophil activation involved in immune response (GO:0002283) (GO_Biological_Process_2021)
1038       | CD14+ Monocytes (0.35)    | SUMO-specific protease activity (GO:0016929) (GO_Molecular_Function_2021) || SUMO binding (GO:0032183) (GO_Molecular_Function_2021) || NAD+ ADP-ribosyltransferase activity (GO:0003950) (GO_Molecular_Function_2021)
3919       | CD4 T cells (-0.24)       | ribonuclease activity (GO:0004540) (GO_Molecular_Function_2021) || exoribonuclease activity (GO:0004532) (GO_Molecular_Function_2021) || exonuclease activity (GO:0004527) (GO_Molecular_Function_2021)
2169       | CD14+ Monocytes (0.39)    | integral component of mitochondrial membrane (GO:0032592) (GO_Cellular_Component_2021) || ubiquitin binding (GO:0043130) (GO_Molecular_Function_2021) || ubiquitin-protein transferase activity (GO:0004842) (GO_Molecular_Function_2021)
3574       | CD14+ Monocytes (-0.60)   | cytokine-mediated signaling pathway (GO:0019221) (GO_Biological_Process_2021) || interferon-gamma-mediated signaling pathway (GO:0060333) (GO_Biological_Process_2021) || mesoderm development (GO:0007498) (GO_Biological_Process_2021)
1869       | CD4 T cells (0.65)        | mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
1054       | CD4 T cells (0.35)        | endosome membrane (GO:0010008) (GO_Cellular_Component_2021) || mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021) || gamma-secretase complex (GO:0070765) (GO_Cellular_Component_2021)
2315       | CD14+ Monocytes (0.45)    | transcription factor TFIIH core complex (GO:0000439) (GO_Cellular_Component_2021) || transcription factor TFIIH holo complex (GO:0005675) (GO_Cellular_Component_2021) || 3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115) (GO_Molecular_Function_2021)
4482       | CD4 T cells (0.62)        | cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538) (GO_Molecular_Function_2021) || negative regulation of transferase activity (GO:0051348) (GO_Biological_Process_2021) || mitotic cell cycle phase transition (GO:0044772) (GO_Biological_Process_2021)
3817       | B cells (0.52)            | preribosome, small subunit precursor (GO:0030688) (GO_Cellular_Component_2021)
2279       | CD14+ Monocytes (-0.56)   | translation initiation factor activity (GO:0003743) (GO_Molecular_Function_2021) || negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059) (GO_Biological_Process_2021)
242        | CD14+ Monocytes (-0.60)   | protein tyrosine/threonine phosphatase activity (GO:0008330) (GO_Molecular_Function_2021) || MAP kinase tyrosine/serine/threonine phosphatase activity (GO:0017017) (GO_Molecular_Function_2021) || MAP kinase phosphatase activity (GO:0033549) (GO_Molecular_Function_2021)
3013       | B cells (0.34)            | aspartic endopeptidase activity, intramembrane cleaving (GO:0042500) (GO_Molecular_Function_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021) || GABA receptor binding (GO:0050811) (GO_Molecular_Function_2021)
696        | B cells (-0.55)           | positive regulation of phosphate metabolic process (GO:0045937) (GO_Biological_Process_2021) || positive regulation of signaling (GO:0023056) (GO_Biological_Process_2021) || positive regulation of response to stimulus (GO:0048584) (GO_Biological_Process_2021)
4306       | NK cells (-0.34)          | mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021) || acid-thiol ligase activity (GO:0016878) (GO_Molecular_Function_2021) || CoA-ligase activity (GO:0016405) (GO_Molecular_Function_2021)
2933       | CD4 T cells (-0.57)       | mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021) || endoribonuclease activity, producing 5'-phosphomonoesters (GO:0016891) (GO_Molecular_Function_2021)
3923       | CD14+ Monocytes (-0.25)   | G-quadruplex DNA binding (GO:0051880) (GO_Molecular_Function_2021) || nucleoside diphosphate kinase activity (GO:0004550) (GO_Molecular_Function_2021) || ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769) (GO_Molecular_Function_2021)
24         | CD14+ Monocytes (-0.41)   | anion channel activity (GO:0005253) (GO_Molecular_Function_2021) || L-histidine transmembrane transporter activity (GO:0005290) (GO_Molecular_Function_2021) || L-leucine transmembrane transporter activity (GO:0015190) (GO_Molecular_Function_2021)
2365       | CD4 T cells (0.69)        | SH2 domain binding (GO:0042169) (GO_Molecular_Function_2021) || amidine-lyase activity (GO:0016842) (GO_Molecular_Function_2021) || RNA polymerase I core promoter sequence-specific DNA binding (GO:0001164) (GO_Molecular_Function_2021)
4384       | CD14+ Monocytes (0.43)    | endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888) (GO_Biological_Process_2021) || vesicle coating (GO:0006901) (GO_Biological_Process_2021) || vesicle targeting, rough ER to cis-Golgi (GO:0048207) (GO_Biological_Process_2021)
1107       | B cells (-0.37)           | SWI/SNF complex (GO:0016514) (GO_Cellular_Component_2021) || integral component of cytoplasmic side of endoplasmic reticulum membrane (GO:0071458) (GO_Cellular_Component_2021) || NSL complex (GO:0044545) (GO_Cellular_Component_2021)
906        | B cells (0.47)            | regulation of T cell mediated immunity (GO:0002709) (GO_Biological_Process_2021) || tumor necrosis factor-activated receptor activity (GO:0005031) (GO_Molecular_Function_2021) || transforming growth factor beta-activated receptor activity (GO:0005024) (GO_Molecular_Function_2021)
4815       | B cells (0.52)            | phosphatase binding (GO:0019902) (GO_Molecular_Function_2021) || flavin adenine dinucleotide binding (GO:0050660) (GO_Molecular_Function_2021) || NADPH binding (GO:0070402) (GO_Molecular_Function_2021)
4416       | CD4 T cells (0.64)        | double-stranded RNA binding (GO:0003725) (GO_Molecular_Function_2021) || mitochondrial envelope (GO:0005740) (GO_Cellular_Component_2021) || intracellular non-membrane-bounded organelle (GO:0043232) (GO_Cellular_Component_2021)
