Analyzing: Layer 12, 8x expansion (K=32)
Directory: /biodata/nyanovsky/datasets/pbmc3k/layer_12/sae_k_32_5120/interpretations_filter_zero_expressed

Feature    | Top Cell Type (r)         | Top Significant GO Terms
4591       | NK cells (0.28)           | regulation of autophagy (GO:0010506) (GO_Biological_Process_2021) || ubiquitin protein ligase activity (GO:0061630) (GO_Molecular_Function_2021) || ubiquitin-like protein ligase activity (GO:0061659) (GO_Molecular_Function_2021)
980        | CD14+ Monocytes (-0.40)   | SWI/SNF complex (GO:0016514) (GO_Cellular_Component_2021)
2157       | CD4 T cells (0.48)        | 90S preribosome (GO:0030686) (GO_Cellular_Component_2021) || vesicle coat (GO:0030120) (GO_Cellular_Component_2021) || ER to Golgi transport vesicle membrane (GO:0012507) (GO_Cellular_Component_2021)
1092       | CD4 T cells (-0.50)       | SH2 domain binding (GO:0042169) (GO_Molecular_Function_2021) || RNA metabolic process (GO:0016070) (GO_Biological_Process_2021) || protein stabilization (GO:0050821) (GO_Biological_Process_2021)
4742       | B cells (0.44)            | testosterone dehydrogenase [NAD(P)] activity (GO:0030283) (GO_Molecular_Function_2021) || threonine-type peptidase activity (GO:0070003) (GO_Molecular_Function_2021) || 3-hydroxyacyl-CoA dehydrogenase activity (GO:0003857) (GO_Molecular_Function_2021)
4701       | B cells (-0.45)           | ubiquitin protein ligase binding (GO:0031625) (GO_Molecular_Function_2021) || ubiquitin-like protein ligase binding (GO:0044389) (GO_Molecular_Function_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021)
295        | B cells (0.43)            | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388) (GO_Biological_Process_2021) || RNA splicing, via endonucleolytic cleavage and ligation (GO:0000394) (GO_Biological_Process_2021)
1057       | CD8 T cells (0.31)        | nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || apical dendrite (GO:0097440) (GO_Cellular_Component_2021)
197        | CD14+ Monocytes (-0.56)   | growth factor receptor binding (GO:0070851) (GO_Molecular_Function_2021) || G protein-coupled glutamate receptor binding (GO:0035256) (GO_Molecular_Function_2021) || phospholipase activator activity (GO:0016004) (GO_Molecular_Function_2021)
3978       | CD8 T cells (0.29)        | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || mitochondrial intermembrane space (GO:0005758) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
2425       | CD14+ Monocytes (-0.36)   | nucleus (GO:0005634) (GO_Cellular_Component_2021) || focal adhesion (GO:0005925) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
1225       | CD4 T cells (0.60)        | neutrophil degranulation (GO:0043312) (GO_Biological_Process_2021) || neutrophil activation involved in immune response (GO:0002283) (GO_Biological_Process_2021) || neutrophil mediated immunity (GO:0002446) (GO_Biological_Process_2021)
1873       | CD14+ Monocytes (0.52)    | regulation of interleukin-1-mediated signaling pathway (GO:2000659) (GO_Biological_Process_2021) || negative regulation of cytokine production (GO:0001818) (GO_Biological_Process_2021) || mature B cell differentiation involved in immune response (GO:0002313) (GO_Biological_Process_2021)
4669       | CD14+ Monocytes (-0.42)   | sulfotransferase activity (GO:0008146) (GO_Molecular_Function_2021) || mRNA binding (GO:0003729) (GO_Molecular_Function_2021)
4758       | CD4 T cells (0.44)        | GTP binding (GO:0005525) (GO_Molecular_Function_2021) || volume-sensitive anion channel activity (GO:0005225) (GO_Molecular_Function_2021) || guanyl ribonucleotide binding (GO:0032561) (GO_Molecular_Function_2021)
4409       | CD14+ Monocytes (-0.49)   | methylation-dependent protein binding (GO:0140034) (GO_Molecular_Function_2021) || methylated histone binding (GO:0035064) (GO_Molecular_Function_2021) || lysine N-acetyltransferase activity, acting on acetyl phosphate as donor (GO:0004468) (GO_Molecular_Function_2021)
3008       | FCGR3A+ Monocytes (-0.35) | amidine-lyase activity (GO:0016842) (GO_Molecular_Function_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021) || carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884) (GO_Molecular_Function_2021)
1362       | CD4 T cells (-0.48)       | negative regulation of cytokine-mediated signaling pathway (GO:0001960) (GO_Biological_Process_2021) || regulation of hemopoiesis (GO:1903706) (GO_Biological_Process_2021) || MyD88-dependent toll-like receptor signaling pathway (GO:0002755) (GO_Biological_Process_2021)
4564       | CD14+ Monocytes (-0.57)   | non-membrane spanning protein tyrosine phosphatase activity (GO:0004726) (GO_Molecular_Function_2021)
4500       | CD4 T cells (0.25)        | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
4865       | CD4 T cells (0.63)        | protein ubiquitination (GO:0016567) (GO_Biological_Process_2021) || post-translational protein modification (GO:0043687) (GO_Biological_Process_2021) || regulation of cell division (GO:0051302) (GO_Biological_Process_2021)
1228       | CD4 T cells (-0.55)       | tumor necrosis factor binding (GO:0043120) (GO_Molecular_Function_2021)
3471       | FCGR3A+ Monocytes (-0.22) | RNA methylation (GO:0001510) (GO_Biological_Process_2021) || mRNA methylation (GO:0080009) (GO_Biological_Process_2021) || rRNA methylation (GO:0031167) (GO_Biological_Process_2021)
5064       | CD14+ Monocytes (0.19)    | cilium organization (GO:0044782) (GO_Biological_Process_2021) || plasma membrane bounded cell projection assembly (GO:0120031) (GO_Biological_Process_2021) || cilium assembly (GO:0060271) (GO_Biological_Process_2021)
1093       | CD14+ Monocytes (-0.31)   | antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886) (GO_Biological_Process_2021) || antigen processing and presentation of peptide antigen via MHC class II (GO:0002495) (GO_Biological_Process_2021) || antigen processing and presentation of exogenous peptide antigen (GO:0002478) (GO_Biological_Process_2021)
2731       | CD4 T cells (0.36)        | aspartic-type peptidase activity (GO:0070001) (GO_Molecular_Function_2021)
817        | CD14+ Monocytes (-0.49)   | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || mRNA processing (GO:0006397) (GO_Biological_Process_2021) || mRNA binding (GO:0003729) (GO_Molecular_Function_2021)
1688       | CD14+ Monocytes (0.43)    | G protein-coupled chemoattractant receptor activity (GO:0001637) (GO_Molecular_Function_2021) || cytokine receptor activity (GO:0004896) (GO_Molecular_Function_2021) || chemokine receptor activity (GO:0004950) (GO_Molecular_Function_2021)
4197       | CD4 T cells (0.43)        | nucleolus (GO:0005730) (GO_Cellular_Component_2021) || nuclear lumen (GO:0031981) (GO_Cellular_Component_2021) || preribosome, large subunit precursor (GO:0030687) (GO_Cellular_Component_2021)
4812       | CD4 T cells (0.62)        | mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
4083       | CD8 T cells (0.19)        | cytosolic transport (GO:0016482) (GO_Biological_Process_2021) || retrograde transport, endosome to Golgi (GO:0042147) (GO_Biological_Process_2021) || mitochondrial outer membrane (GO:0005741) (GO_Cellular_Component_2021)
437        | CD8 T cells (0.24)        | cadherin binding (GO:0045296) (GO_Molecular_Function_2021)
2267       | CD8 T cells (0.30)        | CARD domain binding (GO:0050700) (GO_Molecular_Function_2021) || cadherin binding (GO:0045296) (GO_Molecular_Function_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021)
3894       | CD4 T cells (0.60)        | ficolin-1-rich granule lumen (GO:1904813) (GO_Cellular_Component_2021) || azurophil granule (GO:0042582) (GO_Cellular_Component_2021) || ficolin-1-rich granule (GO:0101002) (GO_Cellular_Component_2021)
880        | B cells (0.37)            | intracellular distribution of mitochondria (GO:0048312) (GO_Biological_Process_2021) || mitochondrion distribution (GO:0048311) (GO_Biological_Process_2021) || anion transmembrane transport (GO:0098656) (GO_Biological_Process_2021)
1795       | NK cells (-0.28)          | nucleus (GO:0005634) (GO_Cellular_Component_2021)
1552       | CD14+ Monocytes (0.32)    | DNA binding (GO:0003677) (GO_Molecular_Function_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021) || transcription corepressor binding (GO:0001222) (GO_Molecular_Function_2021)
3359       | CD14+ Monocytes (-0.48)   | U4 snRNP (GO:0005687) (GO_Cellular_Component_2021) || intracellular organelle lumen (GO:0070013) (GO_Cellular_Component_2021) || U5 snRNP (GO:0005682) (GO_Cellular_Component_2021)
4330       | CD4 T cells (0.33)        | spleen development (GO:0048536) (GO_Biological_Process_2021) || regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803) (GO_Biological_Process_2021) || T cell differentiation in thymus (GO:0033077) (GO_Biological_Process_2021)
4458       | CD4 T cells (-0.32)       | fructose 6-phosphate metabolic process (GO:0006002) (GO_Biological_Process_2021) || canonical glycolysis (GO:0061621) (GO_Biological_Process_2021) || glucose catabolic process to pyruvate (GO:0061718) (GO_Biological_Process_2021)
3371       | NK cells (0.28)           | RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021) || RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021)
542        | Dendritic cells (-0.17)   | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || regulation of transcription by RNA polymerase II (GO:0006357) (GO_Biological_Process_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021)
1341       | CD4 T cells (-0.48)       | neuron projection morphogenesis (GO:0048812) (GO_Biological_Process_2021) || positive regulation of protein neddylation (GO:2000436) (GO_Biological_Process_2021) || protein localization to axon (GO:0099612) (GO_Biological_Process_2021)
3343       | B cells (0.36)            | receptor recycling (GO:0001881) (GO_Biological_Process_2021) || deoxyribonuclease I activity (GO:0004530) (GO_Molecular_Function_2021) || diphosphoinositol-polyphosphate diphosphatase activity (GO:0008486) (GO_Molecular_Function_2021)
4982       | CD4 T cells (0.67)        | NAD(P)H oxidase H2O2-forming activity (GO:0016174) (GO_Molecular_Function_2021) || oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664) (GO_Molecular_Function_2021) || folic acid transmembrane transporter activity (GO:0008517) (GO_Molecular_Function_2021)
1596       | CD4 T cells (0.53)        | antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway (GO:0002484) (GO_Biological_Process_2021) || antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent (GO:0002486) (GO_Biological_Process_2021) || antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent (GO:0002480) (GO_Biological_Process_2021)
2288       | CD4 T cells (0.63)        | transforming growth factor beta receptor activity, type I (GO:0005025) (GO_Molecular_Function_2021) || activin receptor activity, type I (GO:0016361) (GO_Molecular_Function_2021) || cytoskeleton-nuclear membrane anchor activity (GO:0140444) (GO_Molecular_Function_2021)
2246       | CD4 T cells (0.62)        | positive regulation of T-helper 17 cell differentiation (GO:2000321) (GO_Biological_Process_2021) || positive regulation of T-helper 17 type immune response (GO:2000318) (GO_Biological_Process_2021)
2165       | CD4 T cells (0.57)        | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || positive regulation of establishment of protein localization to telomere (GO:1904851) (GO_Biological_Process_2021) || regulation of establishment of protein localization to telomere (GO:0070203) (GO_Biological_Process_2021)
2448       | CD14+ Monocytes (-0.30)   | peroxisomal membrane transport (GO:0015919) (GO_Biological_Process_2021) || tRNA export from nucleus (GO:0006409) (GO_Biological_Process_2021) || tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431) (GO_Biological_Process_2021)
3555       | CD4 T cells (0.55)        | cytosolic transport (GO:0016482) (GO_Biological_Process_2021) || L-histidine transmembrane transporter activity (GO:0005290) (GO_Molecular_Function_2021) || L-glutamine transmembrane transporter activity (GO:0015186) (GO_Molecular_Function_2021)
1597       | CD14+ Monocytes (0.43)    | positive regulation of T cell differentiation (GO:0045582) (GO_Biological_Process_2021) || positive regulation of T cell activation (GO:0050870) (GO_Biological_Process_2021) || regulation of B cell activation (GO:0050864) (GO_Biological_Process_2021)
2139       | CD14+ Monocytes (-0.31)   | GTPase activator activity (GO:0005096) (GO_Molecular_Function_2021) || phosphatidylinositol-3-phosphatase activity (GO:0004438) (GO_Molecular_Function_2021) || phosphatidylinositol monophosphate phosphatase activity (GO:0052744) (GO_Molecular_Function_2021)
2893       | Megakaryocytes (0.12)     | Hsp70 protein binding (GO:0030544) (GO_Molecular_Function_2021) || ATP hydrolysis activity (GO:0140603) (GO_Molecular_Function_2021)
1684       | B cells (-0.31)           | nucleus (GO:0005634) (GO_Cellular_Component_2021) || RNA polymerase II, core complex (GO:0005665) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
3487       | CD14+ Monocytes (-0.22)   | phagosome maturation (GO:0090382) (GO_Biological_Process_2021) || pyrophosphate hydrolysis-driven proton transmembrane transporter activity (GO:0009678) (GO_Molecular_Function_2021) || phagosome acidification (GO:0090383) (GO_Biological_Process_2021)
1884       | CD4 T cells (0.34)        | ribosomal protein S6 kinase activity (GO:0004711) (GO_Molecular_Function_2021) || autophagosome (GO:0005776) (GO_Cellular_Component_2021) || late endosome (GO:0005770) (GO_Cellular_Component_2021)
3530       | CD4 T cells (0.74)        | mRNA binding (GO:0003729) (GO_Molecular_Function_2021) || NAADP-sensitive calcium-release channel activity (GO:0072345) (GO_Molecular_Function_2021) || ubiquitin ligase inhibitor activity (GO:1990948) (GO_Molecular_Function_2021)
4627       | B cells (-0.33)           | ficolin-1-rich granule lumen (GO:1904813) (GO_Cellular_Component_2021) || ficolin-1-rich granule (GO:0101002) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
958        | CD8 T cells (0.31)        | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || endonuclease activity (GO:0004519) (GO_Molecular_Function_2021) || nucleolus (GO:0005730) (GO_Cellular_Component_2021)
3049       | FCGR3A+ Monocytes (-0.27) | mRNA 3'-end processing (GO:0031124) (GO_Biological_Process_2021)
935        | CD4 T cells (0.48)        | 1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841) (GO_Molecular_Function_2021) || lysophosphatidic acid acyltransferase activity (GO:0042171) (GO_Molecular_Function_2021) || acylglycerol O-acyltransferase activity (GO:0016411) (GO_Molecular_Function_2021)
1680       | FCGR3A+ Monocytes (-0.29) | heme biosynthetic process (GO:0006783) (GO_Biological_Process_2021) || porphyrin-containing compound biosynthetic process (GO:0006779) (GO_Biological_Process_2021)
3838       | CD14+ Monocytes (0.20)    | RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377) (GO_Biological_Process_2021) || mRNA splicing, via spliceosome (GO:0000398) (GO_Biological_Process_2021) || mRNA processing (GO:0006397) (GO_Biological_Process_2021)
1553       | CD8 T cells (0.21)        | mRNA processing (GO:0006397) (GO_Biological_Process_2021) || RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377) (GO_Biological_Process_2021) || RNA binding (GO:0003723) (GO_Molecular_Function_2021)
2495       | CD14+ Monocytes (-0.30)   | protein deubiquitination (GO:0016579) (GO_Biological_Process_2021) || protein modification by small protein removal (GO:0070646) (GO_Biological_Process_2021)
4305       | CD8 T cells (0.30)        | DNA alkylation (GO:0006305) (GO_Biological_Process_2021) || DNA methylation or demethylation (GO:0044728) (GO_Biological_Process_2021) || positive regulation of nucleic acid-templated transcription (GO:1903508) (GO_Biological_Process_2021)
592        | CD14+ Monocytes (-0.48)   | acylglycerol O-acyltransferase activity (GO:0016411) (GO_Molecular_Function_2021) || O-acyltransferase activity (GO:0008374) (GO_Molecular_Function_2021) || chaperone-mediated protein complex assembly (GO:0051131) (GO_Biological_Process_2021)
4457       | CD4 T cells (0.58)        | tumor necrosis factor-activated receptor activity (GO:0005031) (GO_Molecular_Function_2021) || death receptor activity (GO:0005035) (GO_Molecular_Function_2021) || tumor necrosis factor-mediated signaling pathway (GO:0033209) (GO_Biological_Process_2021)
4879       | CD4 T cells (0.57)        | mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
755        | CD14+ Monocytes (0.26)    | glycosylceramide metabolic process (GO:0006677) (GO_Biological_Process_2021) || negative regulation of translation, ncRNA-mediated (GO:0040033) (GO_Biological_Process_2021) || miRNA mediated inhibition of translation (GO:0035278) (GO_Biological_Process_2021)
644        | B cells (0.39)            | disulfide oxidoreductase activity (GO:0015036) (GO_Molecular_Function_2021) || prespliceosome (GO:0071010) (GO_Cellular_Component_2021) || U2-type prespliceosome (GO:0071004) (GO_Cellular_Component_2021)
4546       | CD14+ Monocytes (-0.63)   | activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919) (GO_Biological_Process_2021) || cysteine-type endopeptidase activity involved in apoptotic process (GO:0097153) (GO_Molecular_Function_2021) || CARD domain binding (GO:0050700) (GO_Molecular_Function_2021)
473        | CD4 T cells (0.43)        | MICOS complex (GO:0061617) (GO_Cellular_Component_2021) || MIB complex (GO:0140275) (GO_Cellular_Component_2021) || SAM complex (GO:0001401) (GO_Cellular_Component_2021)
4004       | CD4 T cells (0.53)        | regulation of reactive oxygen species metabolic process (GO:2000377) (GO_Biological_Process_2021) || regulation of response to endoplasmic reticulum stress (GO:1905897) (GO_Biological_Process_2021) || nucleic acid phosphodiester bond hydrolysis (GO:0090305) (GO_Biological_Process_2021)
4207       | CD14+ Monocytes (0.43)    | aerobic electron transport chain (GO:0019646) (GO_Biological_Process_2021) || mitochondrial ATP synthesis coupled electron transport (GO:0042775) (GO_Biological_Process_2021) || oxidoreduction-driven active transmembrane transporter activity (GO:0015453) (GO_Molecular_Function_2021)
2206       | CD4 T cells (0.39)        | small GTPase binding (GO:0031267) (GO_Molecular_Function_2021) || GTPase binding (GO:0051020) (GO_Molecular_Function_2021)
2150       | CD4 T cells (-0.27)       | cadherin binding involved in cell-cell adhesion (GO:0098641) (GO_Molecular_Function_2021) || regulation of coagulation (GO:0050818) (GO_Biological_Process_2021) || actin cytoskeleton (GO:0015629) (GO_Cellular_Component_2021)
754        | B cells (-0.54)           | GTPase activator activity (GO:0005096) (GO_Molecular_Function_2021) || 1,4-alpha-oligoglucan phosphorylase activity (GO:0004645) (GO_Molecular_Function_2021) || pyruvate dehydrogenase (acetyl-transferring) kinase activity (GO:0004740) (GO_Molecular_Function_2021)
3990       | CD14+ Monocytes (-0.59)   | regulation of actin filament-based process (GO:0032970) (GO_Biological_Process_2021) || regulation of actin cytoskeleton organization (GO:0032956) (GO_Biological_Process_2021) || MHC class I protein complex binding (GO:0023024) (GO_Molecular_Function_2021)
3502       | CD14+ Monocytes (0.49)    | positive regulation of myeloid leukocyte differentiation (GO:0002763) (GO_Biological_Process_2021) || positive regulation of granulocyte differentiation (GO:0030854) (GO_Biological_Process_2021) || immunological synapse formation (GO:0001771) (GO_Biological_Process_2021)
2128       | B cells (-0.45)           | regulation of gene expression (GO:0010468) (GO_Biological_Process_2021) || rescue of stalled ribosome (GO:0072344) (GO_Biological_Process_2021) || C-terminal protein lipidation (GO:0006501) (GO_Biological_Process_2021)
2905       | CD8 T cells (0.33)        | adenyl nucleotide binding (GO:0030554) (GO_Molecular_Function_2021) || adenyl-nucleotide exchange factor activity (GO:0000774) (GO_Molecular_Function_2021)
865        | Dendritic cells (-0.07)   | RNA 2'-O-methyltransferase activity (GO:0062105) (GO_Molecular_Function_2021) || phosphatidylcholine flippase activity (GO:0140345) (GO_Molecular_Function_2021) || protein binding involved in heterotypic cell-cell adhesion (GO:0086080) (GO_Molecular_Function_2021)
2687       | CD14+ Monocytes (-0.60)   | mismatched DNA binding (GO:0030983) (GO_Molecular_Function_2021) || MutLalpha complex binding (GO:0032405) (GO_Molecular_Function_2021) || MutSalpha complex binding (GO:0032407) (GO_Molecular_Function_2021)
2262       | FCGR3A+ Monocytes (0.27)  | DNA replication initiation (GO:0006270) (GO_Biological_Process_2021) || DNA-dependent DNA replication (GO:0006261) (GO_Biological_Process_2021) || DNA metabolic process (GO:0006259) (GO_Biological_Process_2021)
1029       | CD14+ Monocytes (-0.48)   | B cell activation (GO:0042113) (GO_Biological_Process_2021) || regulation of immune response (GO:0050776) (GO_Biological_Process_2021) || B cell receptor signaling pathway (GO:0050853) (GO_Biological_Process_2021)
969        | CD4 T cells (0.67)        | regulation of ketone biosynthetic process (GO:0010566) (GO_Biological_Process_2021) || regulation of cortisol biosynthetic process (GO:2000064) (GO_Biological_Process_2021) || regulation of alcohol biosynthetic process (GO:1902930) (GO_Biological_Process_2021)
3575       | CD4 T cells (0.66)        | polymeric cytoskeletal fiber (GO:0099513) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || microtubule cytoskeleton (GO:0015630) (GO_Cellular_Component_2021)
1316       | CD4 T cells (0.66)        | catalytic activity, acting on a tRNA (GO:0140101) (GO_Molecular_Function_2021) || tRNA processing (GO:0008033) (GO_Biological_Process_2021) || tRNA modification (GO:0006400) (GO_Biological_Process_2021)
3169       | CD14+ Monocytes (-0.15)   | neutral amino acid transmembrane transporter activity (GO:0015175) (GO_Molecular_Function_2021) || telomeric DNA binding (GO:0042162) (GO_Molecular_Function_2021) || amino acid transmembrane transporter activity (GO:0015171) (GO_Molecular_Function_2021)
4914       | B cells (0.44)            | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377) (GO_Biological_Process_2021) || mRNA splicing, via spliceosome (GO:0000398) (GO_Biological_Process_2021)
4136       | B cells (0.46)            | rRNA processing (GO:0006364) (GO_Biological_Process_2021) || ribosomal small subunit biogenesis (GO:0042274) (GO_Biological_Process_2021) || ribosome biogenesis (GO:0042254) (GO_Biological_Process_2021)
2708       | B cells (-0.24)           | cation channel activity (GO:0005261) (GO_Molecular_Function_2021) || organic anion transmembrane transporter activity (GO:0008514) (GO_Molecular_Function_2021) || aspartic endopeptidase activity, intramembrane cleaving (GO:0042500) (GO_Molecular_Function_2021)
116        | FCGR3A+ Monocytes (-0.27) | integral component of mitochondrial outer membrane (GO:0031307) (GO_Cellular_Component_2021) || intrinsic component of mitochondrial outer membrane (GO:0031306) (GO_Cellular_Component_2021)
1533       | CD14+ Monocytes (0.59)    | neutrophil activation involved in immune response (GO:0002283) (GO_Biological_Process_2021) || regulation of cell activation (GO:0050865) (GO_Biological_Process_2021) || neutrophil degranulation (GO:0043312) (GO_Biological_Process_2021)
2275       | NK cells (0.31)           | autolysosome (GO:0044754) (GO_Cellular_Component_2021) || lytic vacuole (GO:0000323) (GO_Cellular_Component_2021) || early phagosome (GO:0032009) (GO_Cellular_Component_2021)
393        | CD14+ Monocytes (0.22)    | DNA-binding transcription factor binding (GO:0140297) (GO_Molecular_Function_2021) || histone deacetylase binding (GO:0042826) (GO_Molecular_Function_2021) || sequence-specific double-stranded DNA binding (GO:1990837) (GO_Molecular_Function_2021)
2629       | CD4 T cells (-0.39)       | maintenance of synapse structure (GO:0099558) (GO_Biological_Process_2021) || miRNA catabolic process (GO:0010587) (GO_Biological_Process_2021)
3294       | NK cells (0.31)           | Y-form DNA binding (GO:0000403) (GO_Molecular_Function_2021)
1879       | CD4 T cells (0.60)        | DNA N-glycosylase activity (GO:0019104) (GO_Molecular_Function_2021) || protein serine/threonine phosphatase inhibitor activity (GO:0004865) (GO_Molecular_Function_2021) || DNA-(apurinic or apyrimidinic site) endonuclease activity (GO:0003906) (GO_Molecular_Function_2021)
634        | CD4 T cells (0.60)        | dolichyl-diphosphooligosaccharide-protein glycotransferase activity (GO:0004579) (GO_Molecular_Function_2021) || oligosaccharyl transferase activity (GO:0004576) (GO_Molecular_Function_2021) || purine ribonucleotide transmembrane transporter activity (GO:0005346) (GO_Molecular_Function_2021)
135        | CD14+ Monocytes (-0.45)   | negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124) (GO_Biological_Process_2021) || regulation of endodeoxyribonuclease activity (GO:0032071) (GO_Biological_Process_2021) || regulation of vascular wound healing (GO:0061043) (GO_Biological_Process_2021)
528        | CD14+ Monocytes (0.63)    | phagolysosome (GO:0032010) (GO_Cellular_Component_2021) || phagocytic vesicle (GO:0045335) (GO_Cellular_Component_2021) || NADPH oxidase complex (GO:0043020) (GO_Cellular_Component_2021)
2666       | CD14+ Monocytes (0.36)    | mitotic intra-S DNA damage checkpoint signaling (GO:0031573) (GO_Biological_Process_2021) || endomembrane system organization (GO:0010256) (GO_Biological_Process_2021) || folic acid metabolic process (GO:0046655) (GO_Biological_Process_2021)
3846       | CD14+ Monocytes (-0.31)   | cellular response to drug (GO:0035690) (GO_Biological_Process_2021) || positive regulation of stress fiber assembly (GO:0051496) (GO_Biological_Process_2021) || positive regulation of actin filament bundle assembly (GO:0032233) (GO_Biological_Process_2021)
3980       | NK cells (0.16)           | metaphase/anaphase transition of cell cycle (GO:0044784) (GO_Biological_Process_2021) || metaphase/anaphase transition of mitotic cell cycle (GO:0007091) (GO_Biological_Process_2021) || peptide antigen assembly with MHC protein complex (GO:0002501) (GO_Biological_Process_2021)
2041       | B cells (-0.31)           | SRP-dependent cotranslational protein targeting to membrane (GO:0006614) (GO_Biological_Process_2021) || cytoplasmic translation (GO:0002181) (GO_Biological_Process_2021) || cotranslational protein targeting to membrane (GO:0006613) (GO_Biological_Process_2021)
1099       | CD14+ Monocytes (-0.60)   | cytosolic large ribosomal subunit (GO:0022625) (GO_Cellular_Component_2021) || large ribosomal subunit (GO:0015934) (GO_Cellular_Component_2021) || polysomal ribosome (GO:0042788) (GO_Cellular_Component_2021)
595        | FCGR3A+ Monocytes (-0.35) | positive regulation of viral process (GO:0048524) (GO_Biological_Process_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
5110       | B cells (0.31)            | tubulin binding (GO:0015631) (GO_Molecular_Function_2021)
4032       | CD14+ Monocytes (-0.47)   | regulation of aerobic respiration (GO:1903715) (GO_Biological_Process_2021) || regulation of oxidative phosphorylation (GO:0002082) (GO_Biological_Process_2021) || regulation of leukocyte chemotaxis (GO:0002688) (GO_Biological_Process_2021)
3055       | CD4 T cells (0.60)        | organonitrogen compound catabolic process (GO:1901565) (GO_Biological_Process_2021) || neutral lipid catabolic process (GO:0046461) (GO_Biological_Process_2021) || heat acclimation (GO:0010286) (GO_Biological_Process_2021)
4230       | CD4 T cells (0.43)        | mRNA methyltransferase activity (GO:0008174) (GO_Molecular_Function_2021)
3316       | B cells (-0.33)           | nucleotide-sugar biosynthetic process (GO:0009226) (GO_Biological_Process_2021) || GTP binding (GO:0005525) (GO_Molecular_Function_2021) || guanyl ribonucleotide binding (GO:0032561) (GO_Molecular_Function_2021)
2531       | CD4 T cells (0.33)        | MHC class II protein complex (GO:0042613) (GO_Cellular_Component_2021) || MHC protein complex (GO:0042611) (GO_Cellular_Component_2021)
3916       | NK cells (0.36)           | intracellular organelle lumen (GO:0070013) (GO_Cellular_Component_2021) || mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021) || NADPH binding (GO:0070402) (GO_Molecular_Function_2021)
2615       | CD14+ Monocytes (-0.35)   | heme biosynthetic process (GO:0006783) (GO_Biological_Process_2021) || porphyrin-containing compound biosynthetic process (GO:0006779) (GO_Biological_Process_2021)
